Species,Alpha.Code,updated count,stationary.obs,stationary...travel.obs,Common.name,Urban.Rural,Broadleaf,mixed.wood,Confier,Savanna.grassland,Wetland
Accipiter cooperii,COHA,207,131,832,Cooper's Hawk,x,x,x,x,,x
Actitis macularius,SPSA,209,134,744,Spotted Sandpiper,,,,,,x
Agelaius phoeniceus,RWBL,2437,1383,6573,Red-winged blackbird,,,,,,x
Aix sponsa,WODU,507,240,1918,Wood duck,,,,,,x
Aphelocoma californica,WESJ,687,1298,3241,Scrub Jay,x,x,,,,
Ardea alba,GREG,129,65,542,Great egret,,,,,,x
Ardea herodias,GBHE,1614,797,5318,Great blue heron,,,,,,x
Bombycilla cedrorum,CEDW,602,504,2325,Cedar waxwing,x,x,x,,,
Branta canadensis,CAGO,2405,1136,6322,Canada goose,x,,,,,x
Buteo jamaicensis,RTHA,984,587,3498,Red-tailed hawk,x,x,x,,x,
Callipepla californica,CAQU,159,201,599,California quail,x,x,,,x,
Calypte anna,ANHU,1868,1722,5404,Anna's hummingbird,x,x,x,,,
Cardellina pusilla,WIWA,569,495,2184,Wilson's warbler,x,x,x,x,,
Cathartes aura,TUVU,524,644,2535,Turkey vulture,x,x,x,,x,
Catharus guttatus,HETH,82,49,311,Hermit thrush,,,x,x,,
Catharus ustulatus,SWTH,467,631,2108,Swainson's thrush,x,x,x,,,x
Certhia americana,BRCR,644,324,2379,Brown creeper,x,,x,x,,
Circus cyaneus,NOHA,246,226,1313,Northern Harrier,,,,,x,x
Cistothorus palustris,MAWR,973,285,2947,Marsh wren,,,,,,x
Coccothraustes vespertinus,EVGR,154,300,686,Evening grosbeak,,x,x,,,
Colaptes auratus,FLIN,2090,2034,6960,Northern flicker,x,x,x,,x,
Columba livia,RODO,717,801,2511,Rock dove,x,,,,,
Contopus cooperi,OSFL,128,130,507,Olive-sided flycatcher,,,x,x,,
Contopus sordidulus,WEWP,231,541,1492,Western wood pewee,,,x,x,,
Corvus brachyrhynchos,AMCR,2932,2112,6341,American crow,x,x,x,,,
Corvus caurinus,NOCR,679,955,3511,Northwestern crow,x,x,x,,,
Corvus corax,CORA,635,591,2238,Common raven,x,,x,x,,
Cyanocitta stelleri,STJA,1201,1392,3635,Stellar's jay,x,x,x,x,,
Dryocopus pileatus,PIWO,423,369,1341,Pileated woodpecker,,,x,x,,
Empidonax difficilis,PSFL,381,310,1388,Pacific slope flycatcher,,,x,x,,
