"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"L1000615",0,0,0,0,NA,NA,NA,NA,NA,NA
"L1002540",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1002782",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1003142",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1003500",0,0,0,0,0,0,0,0,0,0
"L1006699",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1007955",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1012395",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1014477",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1014482",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1014778",0,0,0,0,0,NA,NA,NA,NA,NA
"L1020096",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1021336",0,0,0,0,NA,NA,NA,NA,NA,NA
"L1022263",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1022545",0,0,0,0,0,0,0,0,0,0
"L1023024",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1023524",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1023526",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1023575",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1025480",0,0,0,0,0,0,0,0,0,0
"L1026441",0,0,0,0,0,0,0,0,0,0
"L1026677",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1027214",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1027749",0,0,0,0,0,0,0,0,0,0
"L1028900",0,0,0,0,NA,NA,NA,NA,NA,NA
"L1029127",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1029751",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1032322",0,0,0,0,0,0,0,0,0,0
"L1032491",0,0,0,0,NA,NA,NA,NA,NA,NA
"L1032564",0,0,0,0,0,0,0,0,0,0
"L1033393",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1034275",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1037199",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1037472",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1039803",0,0,0,0,0,0,0,0,0,0
"L1042305",0,0,0,0,0,NA,NA,NA,NA,NA
"L1043649",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1048030",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1048115",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1048285",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1048903",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1048916",1,1,1,NA,NA,NA,NA,NA,NA,NA
"L1049769",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1050174",0,0,0,0,NA,NA,NA,NA,NA,NA
"L1050190",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1052592",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1052691",0,0,0,0,0,0,0,0,NA,NA
"L1053923",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1054533",0,0,0,0,0,0,1,0,1,NA
"L1056981",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1057614",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1057698",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1059268",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1061439",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1062199",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1062300",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1062385",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1062957",0,0,0,0,0,NA,NA,NA,NA,NA
"L1063185",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1063190",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1064269",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1064270",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1065643",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1068472",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1071608",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1074830",0,0,0,0,1,NA,NA,NA,NA,NA
"L1075845",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1077815",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1078409",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1079338",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1082321",0,0,0,0,0,0,NA,NA,NA,NA
"L1082849",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1084527",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1085878",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1086562",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1086606",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1088120",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1090061",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1090139",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1090247",0,0,0,NA,NA,NA,NA,NA,NA,NA
"L1091064",0,0,1,NA,NA,NA,NA,NA,NA,NA
"L1091073",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1091136",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1092249",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1095235",0,0,0,0,0,0,0,0,0,0
"L1095277",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L109534",0,0,0,1,0,0,NA,NA,NA,NA
"L109542",0,0,0,0,0,0,0,0,0,0
"L109543",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L109545",0,0,0,0,1,1,1,1,1,NA
"L1096074",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1097413",0,0,0,0,0,0,0,0,0,0
"L1101820",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1105812",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1108046",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1109189",0,0,0,0,0,0,0,0,0,0
"L1109738",0,0,0,0,0,NA,NA,NA,NA,NA
"L1119327",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1119748",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1119984",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1121364",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1121608",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1122256",0,0,0,0,0,0,0,0,0,0
"L1124156",0,1,0,NA,NA,NA,NA,NA,NA,NA
"L1124271",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1125885",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1127923",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1129693",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1129831",0,0,0,0,0,0,0,0,0,0
"L1130930",0,0,1,NA,NA,NA,NA,NA,NA,NA
"L1133057",0,0,0,1,NA,NA,NA,NA,NA,NA
"L1133834",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1133945",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1136851",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1139568",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"L1141153",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
