"site","NLists","PC1wt","PC2wt","PC3wt","PC4wt","PC5wt","PC1sp","PC2sp","PC3sp","PC4sp","PC5sp","PC1sm","PC2sm","PC3sm","PC4sm","PC5sm","PC1at","PC2at","PC3at","PC4at","PC5at","OBSERVER_ID.1","OBSERVER_ID.2","OBSERVER_ID.3","OBSERVER_ID.4","OBSERVER_ID.5","OBSERVER_ID.6","OBSERVER_ID.7","OBSERVER_ID.8","OBSERVER_ID.9","OBSERVER_ID.10","DAY.1","DAY.2","DAY.3","DAY.4","DAY.5","DAY.6","DAY.7","DAY.8","DAY.9","DAY.10","TIME.1","TIME.2","TIME.3","TIME.4","TIME.5","TIME.6","TIME.7","TIME.8","TIME.9","TIME.10","COUNT_TYPE.1","COUNT_TYPE.2","COUNT_TYPE.3","COUNT_TYPE.4","COUNT_TYPE.5","COUNT_TYPE.6","COUNT_TYPE.7","COUNT_TYPE.8","COUNT_TYPE.9","COUNT_TYPE.10","EFFORT_HRS.1","EFFORT_HRS.2","EFFORT_HRS.3","EFFORT_HRS.4","EFFORT_HRS.5","EFFORT_HRS.6","EFFORT_HRS.7","EFFORT_HRS.8","EFFORT_HRS.9","EFFORT_HRS.10","EFFORT_DISTANCE_KM.1","EFFORT_DISTANCE_KM.2","EFFORT_DISTANCE_KM.3","EFFORT_DISTANCE_KM.4","EFFORT_DISTANCE_KM.5","EFFORT_DISTANCE_KM.6","EFFORT_DISTANCE_KM.7","EFFORT_DISTANCE_KM.8","EFFORT_DISTANCE_KM.9","EFFORT_DISTANCE_KM.10","NUMBER_OBSERVERS.1","NUMBER_OBSERVERS.2","NUMBER_OBSERVERS.3","NUMBER_OBSERVERS.4","NUMBER_OBSERVERS.5","NUMBER_OBSERVERS.6","NUMBER_OBSERVERS.7","NUMBER_OBSERVERS.8","NUMBER_OBSERVERS.9","NUMBER_OBSERVERS.10"
"L1000615",4,0.344926375513988,-2.42007646985261,2.07030414070717,-1.00709222378188,-0.630614931229764,-2.11855204588895,1.9156803747821,-3.31104007284306,0.656884059676927,-1.41623972023585,-0.211679063391182,1.99955419320415,3.71241788680899,-0.704677483059636,-2.86302391348104,-1.36112679363192,1.96735186374438,3.21234342987752,-0.437330929284111,-1.67848096342424,"obs109670","obs109670","obs109670","obs109670",NA,NA,NA,NA,NA,NA,90,99,118,125,NA,NA,NA,NA,NA,NA,10,6.5,7.75,8,NA,NA,NA,NA,NA,NA,"travelling","travelling","travelling","travelling",NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,0.75,2,0.75,0.75,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
"L1002540",1,-0.186910635574978,-1.10781658631418,0.776349794782213,-0.950291719178654,-1.22508994802105,-0.785472282690969,-0.418798862932404,0.552237803701435,-0.113041349640928,-1.18823838943936,-0.568970119202317,0.300143707493935,-0.487401588864212,-0.0808029491283569,-1.42115278368651,-0.846829913565967,-0.361164526952628,0.722766497956637,0.677487620772659,-1.2892981588643,"obs22454",NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stationary",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1002782",3,0.820582149943543,-0.0187211644449719,-0.0108985126917625,0.522936865779748,0.247340158621087,0.184483038148204,0.770849733817709,0.398340534828284,0.161562743047768,0.628584055670597,0.475975773574309,0.762838212740341,-0.0372163785476191,0.202104168773898,0.200103088580492,-0.0734181743184777,1.20065145012738,-0.144254129850448,-0.432317389588926,0.528377958104171,"obs195717","obs197616","obs58678",NA,NA,NA,NA,NA,NA,NA,61,91,93,NA,NA,NA,NA,NA,NA,NA,9.5,15.5,11.55,NA,NA,NA,NA,NA,NA,NA,"stationary","stationary","travelling",NA,NA,NA,NA,NA,NA,NA,0.75,0.333,1.4,NA,NA,NA,NA,NA,NA,NA,0,0,0.805,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"L1003142",2,-0.356160062409822,0.319123896211532,-2.44967052958583,1.05304493800144,-1.59633122317888,-0.869748704625082,-0.916474906014574,1.68837343262524,-1.01061564931605,-0.727592839039322,-1.84010308868539,-0.59735600203735,-0.972646393229606,-0.372891858678426,0.000196349797493469,-0.82507566338644,-1.10964395182753,-2.50391408305807,-0.230079191830285,-0.754185763825584,"obs228041","obs228041",NA,NA,NA,NA,NA,NA,NA,NA,130,138,NA,NA,NA,NA,NA,NA,NA,NA,9.95,17.12,NA,NA,NA,NA,NA,NA,NA,NA,"travelling","travelling",NA,NA,NA,NA,NA,NA,NA,NA,0.583,0.367,NA,NA,NA,NA,NA,NA,NA,NA,0.402,0.322,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"L1003500",20,0.295359509108017,1.17595749576099,0.175782381709081,0.803285097821356,0.0966444997808701,1.2212505593261,0.488191288149803,0.24927097656354,0.0709157314993848,-0.0408169874002833,1.28417923310466,-0.12539140291878,-0.784423441828896,0.279360411134369,0.294433713077352,1.49796384721523,-0.283875023938203,-0.44862545088573,0.936117027844609,-0.0174908148227929,"obs137273","obs93482","obs93482","obs93482","obs93482","obs137273","obs93482","obs93482","obs93482","obs93482",67,69,72,73,77,80,86,97,98,98,14.22,8.75,9.17,11.5,17.5,16.47,10.17,15,9.25,19,"travelling","travelling","travelling","travelling","travelling","stationary","travelling","travelling","travelling","travelling",0.933,1.25,0.833,1.25,1.167,0.267,1.5,1.5,1.333,1,0.805,2.414,2.414,2.414,2.414,0,2.414,2.414,2.414,2.414,1,1,1,1,1,1,1,1,1,1
"L1006699",1,0.94207674521717,-2.02413727343768,0.169890464271477,0.723157030060103,-0.676677985794871,-1.35857720784869,0.204111468302699,1.20170208472882,-0.294083207577894,-0.556027912062764,-1.10256850631051,0.0497639245885539,-1.02600565290653,-0.0717889039669664,-0.84505945775501,-1.20703813937142,0.389572063102052,-0.307166023220074,0.50902608310684,-0.892902362859251,"obs162222",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"travelling",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1007955",1,-0.279107553487668,0.732360096864842,-0.387234236267556,-1.11576054739948,-2.39828121478468,-0.0824771841973286,-0.476113771157314,-0.247075136064478,-0.598268377862694,-2.03096120761172,-0.365025079947852,-0.449829704766077,-0.396565661489831,-0.348622715237049,-1.24869394127636,-0.173608370133749,-0.630718093471207,-1.30492321855355,0.276010717481526,-1.64320054228158,"obs228041",NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"travelling",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1012395",1,-0.398652258171787,0.961430542244363,0.672353928937679,-1.12824170134904,0.0333880792063568,1.3817506540871,-1.71317415193846,0.289981939463177,0.0137897454851718,-0.056396892288237,0.671713704572368,-2.73589026772861,-0.216394821485149,-0.190355297590847,-1.25142567047643,0.513894581994726,-1.05797082279943,0.627814443354051,-0.513321912565534,0.442893038487468,"obs159650",NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"travelling",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1014477",2,1.31433391229835,-1.63453485737944,0.599645495283399,0.503925833402819,-1.27613248643639,-1.80495761455736,0.408738826290096,0.416886993194416,-0.169293339147897,-0.390824038642381,-1.9387244442304,0.065427544956186,-1.29384874603924,-0.060092818240226,-0.18706422966338,-1.14974519526532,0.385548123950479,-0.244472683493925,-0.339897068331377,-1.04133617520875,"obs104034","obs109471",NA,NA,NA,NA,NA,NA,NA,NA,77,87,NA,NA,NA,NA,NA,NA,NA,NA,14.67,13.67,NA,NA,NA,NA,NA,NA,NA,NA,"stationary","stationary",NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.333,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"L1014482",2,0.708505717180455,-2.03105738007516,0.721353245309835,-1.34186665535676,-0.532909595100318,-1.41967656488021,-0.216518445665537,0.433159216626749,0.371123459855555,-0.641394219245511,-1.45519188454971,-0.0539271664215069,-1.08714283723708,-0.12029864680217,-0.523729530766352,-1.20477179131687,-0.248939133639943,0.338683838378431,0.638857343793267,-0.893049555355081,"obs225375","obs225375",NA,NA,NA,NA,NA,NA,NA,NA,67,76,NA,NA,NA,NA,NA,NA,NA,NA,7.47,15.67,NA,NA,NA,NA,NA,NA,NA,NA,"stationary","stationary",NA,NA,NA,NA,NA,NA,NA,NA,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
