"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.245625706741157,0.177557224026708,1.38336081839289,0.1665543
"psi(PAR_1k)",1.50400832173588,0.18018158083391,8.34718129775025,0
"psi(FOR1_1km)",-0.945398979450862,0.208095900785455,4.54309275618822,5.5e-06
"psi(CLT_1km)",-0.26161806175026,0.13581493696891,1.92628342352467,0.054069
"psi(FOR2_1km)",-0.243299719750139,0.121759851553611,1.99819330136925,0.0456957
"psi(SAV_100m)",-0.19565212281936,0.0980356602993126,1.99572402758358,0.045964
"psi(nr_fw)",-0.20981495664454,0.0754797680393573,2.77975094644086,0.0054401
"psi(BAR_1km)",0.143154496874325,0.0860342948718106,1.66392363751713,0.0961277
"psi(RHU1KM)",0.400341746218581,0.15252717420048,2.62472407501878,0.0086719
"psi(SHR_1km)",0.189246757862692,0.286842534831847,0.659758351297628,0.5094089
"psi(WAT_1km)",0.137445920066314,0.101897505711698,1.3488644212273,0.1773805
"psi(RHU100)",-0.145962090122763,0.0958931484065861,1.52213262937082,0.1279759
"psi(RLU1KM)",-0.0661552544575325,0.0687242787927708,0.962618387848276,0.3357391
"psi(FOR1_100m)",-0.161863154705441,0.189442903172781,0.854416565596095,0.3928742
"p(Int)",-8.6299570672757,164.090813268573,0.0525925668559567,0.9580565
"p(COUNT_TYPEtravelling)",0.600696158246723,0.0919930995166496,6.52979583689322,0
"p(EFFORT_HRS)",0.538028734096098,0.0981673407422791,5.48073045503592,0
"p(TIME)",-0.0591439779929282,0.00943226231588257,6.27039155742502,0
"p(DAY)",0.00346228431642488,0.00111425165634635,3.10727320592709,0.0018882
"p(NUMBER_OBSERVERS)",8.54929582252765,164.090731196882,0.052101028255337,0.9584482
"p(EFFORT_DISTANCE_KM)",-0.0130035303351773,0.0403082329866049,0.322602341300811,0.7469964
"psi(nr_urb)",-0.247548912698698,0.43083587202074,0.574578229843362,0.5655766
"psi(SHDI_1k)",0.0596509215088969,0.114833575702043,0.519455404433912,0.6034432
"psi(RUR_1km)",-0.0211036136051923,0.075935782197012,0.277913955642676,0.7810784
"psi(HRB_1km)",0.0632023328492257,0.17324950442579,0.364805273519831,0.7152568
"psi(WET_1km)",0.001878547547179,0.0189722424881386,0.0990155775393163,0.9211259
