"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.03103593482038,0.268739712365547,3.83655964258061,0.0001248
"psi(CLT_1km)",0.88065760000352,0.292210196734955,3.01378120901888,0.0025801
"psi(FOR1_100m)",-0.283267747458575,0.182650586294171,1.55087236896329,0.1209323
"psi(HRB_1km)",0.807043489481785,0.32181449618257,2.50779097602843,0.0121489
"psi(WET_1km)",0.426771019927187,0.155391226176887,2.74642932182915,0.0060248
"psi(BAR_100m)",-0.319090561632316,0.0914023379422489,3.49105470183846,0.0004811
"psi(WAT_1km)",0.283019258496367,0.0931399038755795,3.0386466672162,0.0023764
"psi(RUR_1km)",0.37972396695723,0.139217058664187,2.72756780383632,0.0063803
"psi(CR_CL_MN)",-0.567187210261632,0.204018045053907,2.78008354658906,0.0054345
"psi(RHU100)",-0.162804129900284,0.0941584435317529,1.72904440423744,0.0838011
"psi(WAT_100m)",-0.124879322753231,0.117581009928285,1.06207050636321,0.2882037
"p(Int)",-13.5980041092843,177.192992412841,0.0767412069976353,0.9388294
"p(COUNT_TYPEtravelling)",0.861005675212248,0.127412306457103,6.75763353755885,0
"p(DAY)",0.0393212209750397,0.00178562911596383,22.0209340357979,0
"p(EFFORT_HRS)",1.0081481557901,0.130570753534619,7.72108706198742,0
"p(TIME)",-0.0523662421073337,0.0123001051902569,4.25738164815158,2.07e-05
"p(EFFORT_DISTANCE_KM)",-0.158969129795528,0.0510711226573714,3.11270090657744,0.0018538
"p(NUMBER_OBSERVERS)",7.34244268616146,177.192865790263,0.0414375751157636,0.9669471
"psi(PAR_1k)",0.0635404611118127,0.13111617394201,0.484611922400323,0.6279517
"psi(SHDI_1k)",-0.0763656562348103,0.158648492341046,0.481351288675641,0.6302669
"psi(RHU1KM)",-0.0606771499490886,0.122529991539504,0.495202433189806,0.6204572
"psi(RLU1KM)",0.0227542756419857,0.0491714928412037,0.462753402982277,0.6435411
"psi(FOR2_100m)",-0.00978902624254414,0.0575341036278117,0.170143021708818,0.8648977
