"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-3.32697524071098,0.479834633320184,6.93358713540578,0
"psi(CLT_1km)",0.566838635594698,0.196465851045838,2.88517639364435,0.0039119
"psi(FOR1_1km)",-1.59447060166338,0.4443559593797,3.58827324807162,0.0003329
"psi(RHU1KM)",-0.862035680147645,0.200005481820571,4.31006026585309,1.63e-05
"psi(BAR_100m)",-0.588533786838383,0.257855723100469,2.28241506436943,0.0224648
"psi(HRB_1km)",0.65065011961454,0.349912936266996,1.85946288970028,0.0629616
"psi(nr_urb)",-1.89352656121024,1.32709464376939,1.42682104106155,0.1536315
"psi(CR_CL_MN)",-0.303652092411265,0.288293301376788,1.05327487999593,0.292215
"p(Int)",-1.14109074112897,252.999234603816,0.00451025372830026,0.9964014
"p(EFFORT_DISTANCE_KM)",0.101232113476578,0.0913740096650928,1.10788739432162,0.2679105
"p(DAY)",-0.00955158644236487,0.00349022970144056,2.73666413371663,0.0062066
"p(COUNT_TYPEtravelling)",0.474143850638695,0.300596485169979,1.57734329584919,0.1147166
"p(EFFORT_HRS)",0.643900157298617,0.272854267377471,2.3598683776781,0.0182814
"p(TIME)",-0.0491108398136279,0.0314303552561509,1.56252894418102,0.1181634
"p(NUMBER_OBSERVERS)",0.351684023758092,252.999188931644,0.00139005988613312,0.9988909
"psi(CLT_100m)",0.0426909866636316,0.132525790633752,0.322133423686658,0.7473516
"psi(SHR_1km)",0.0278178292454269,0.164068456975653,0.169550136316299,0.8653639
