"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",8.40204437977441,1.7428446201557,4.82087977471212,1.4e-06
"psi(CR_CL_MN)",2.82905629425003,0.72079023783143,3.92493702850572,8.68e-05
"psi(CLT_100m)",2.2037549894558,1.36643427771147,1.61277788870072,0.1067928
"psi(FOR1_1km)",2.61028639039558,0.9745285859829,2.67851187532162,0.007395
"psi(SHDI_100)",-1.05295352502453,0.258142374153477,4.07896428657817,4.52e-05
"psi(WET_1km)",0.281524964807032,0.182649938185683,1.54133621726623,0.123235
"psi(RHU100)",-0.346135125179405,0.103985367767126,3.328690686122,0.0008726
"psi(RLU1KM)",0.742916683083999,0.249308042010972,2.97991463529004,0.0028833
"psi(BAR_1km)",0.352379558453442,0.185178902930266,1.90291417044489,0.0570517
"psi(RUR_1km)",0.402755109818724,0.210334380475395,1.9148325105407,0.0555139
"psi(CLT_1km)",1.72445341141878,0.693694597485789,2.48589713350638,0.0129225
"psi(FOR2_100m)",-0.695900259587,0.635209828582448,1.09554391049016,0.2732784
"psi(PAR_1k)",0.339695908977776,0.207689959448663,1.63559138766043,0.1019251
"p(Int)",-6.95374443407242,36.9835744446464,0.188022508329478,0.850859
"p(COUNT_TYPEtravelling)",0.934770121346049,0.0846064408797714,11.0484510591149,0
"p(DAY)",0.0043971501660927,0.00101286845690305,4.34128453317367,1.42e-05
"p(EFFORT_HRS)",1.1498412343396,0.0952290181498552,12.0744837726897,0
"p(TIME)",-0.0668791016357937,0.00864271466873015,7.73820543651246,0
"p(NUMBER_OBSERVERS)",6.76037279859712,36.9826027508816,0.182798729557669,0.8549559
"p(EFFORT_DISTANCE_KM)",-0.021363574000276,0.0400674885043131,0.533189745545851,0.5939022
"psi(SHDI_1k)",-0.167054691175748,0.258814684929719,0.645460636134737,0.5186287
