"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.790891901601403,0.158853120292091,4.97876214296043,6e-07
"psi(RHU1KM)",0.26729899021627,0.129224399590141,2.06848699675957,0.0385943
"psi(RLU1KM)",0.497316571784833,0.0829107200044192,5.99821798385452,0
"psi(WET_1km)",-0.430592807233972,0.0954001749498099,4.51354316132551,6.4e-06
"psi(FOR1_1km)",-0.682244409774913,0.178977771570783,3.81189464919166,0.0001379
"psi(WAT_1km)",-0.186162040250289,0.0691649547179931,2.69156599623797,0.0071117
"psi(WET_100m)",0.186307689524651,0.0851795087186025,2.1872360187018,0.0287253
"psi(SAV_1km)",0.2204399794703,0.122067958889896,1.80587913056804,0.0709372
"psi(RHU100)",-0.166207636407505,0.100765066567706,1.64945692062662,0.0990541
"psi(SHR_1km)",-0.271289407484651,0.258669392901401,1.04878820196582,0.2942756
"psi(CLT_1km)",-0.0920733626774439,0.167371536105712,0.550113626365298,0.5822414
"psi(CLT_100m)",0.0825898829875224,0.150721967136221,0.54796181709119,0.5837181
"psi(RUR_100m)",0.0819588688179582,0.0832747530022674,0.984198281749651,0.325018
"p(Int)",-8.10698731556013,190.565532344071,0.0425417294294477,0.9660668
"p(DAY)",-0.00803583279482391,0.00129144765738179,6.22234493894653,0
"p(EFFORT_HRS)",1.24430581364058,0.11123584309107,11.1861948366935,0
"p(TIME)",-0.0361139212791543,0.0108131449539041,3.3398166244054,0.0008383
"p(COUNT_TYPEtravelling)",0.249019762194869,0.106595993398167,2.3361080867712,0.0194856
"p(EFFORT_DISTANCE_KM)",-0.0624240296074374,0.0476152476887466,1.31100923837451,0.1898546
"p(NUMBER_OBSERVERS)",8.10380670934324,190.565475732851,0.0425250517082315,0.9660801
"psi(SHDI_100)",-0.0117483500620849,0.0476795295088777,0.246402390776473,0.8053708
"psi(nr_rd)",-0.0435510271195077,0.17011282709924,0.256012599767689,0.7979411
"psi(FOR2_100m)",-0.00148039798003016,0.0179149458402877,0.0826348007539602,0.9341419
