"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.785725288962439,0.268740428772557,2.92373310763533,0.0034586
"psi(RHU1KM)",-0.412390179947556,0.101564315244725,4.06038458442693,4.9e-05
"psi(CR_CL_MN)",-0.645244096608511,0.137833824933971,4.6813189499574,2.9e-06
"psi(WAT_1km)",0.494687923755768,0.127768092531481,3.87176417800776,0.0001081
"psi(WET_100m)",0.304293725644247,0.128862876019873,2.36137617786305,0.0182073
"psi(RUR_1km)",-0.260549298562358,0.109150983202058,2.38705406876669,0.016984
"psi(PAR_1k)",-0.271033775138958,0.0991913192880442,2.73243442152328,0.0062868
"psi(nr_urb)",1.36346109001507,0.826250384835833,1.65017906803877,0.0989063
"psi(WET_1km)",0.371053593920081,0.224926492775196,1.64966602796288,0.0990113
"psi(SHR_1km)",-0.379711026104541,0.330675381465758,1.14828937195574,0.2508491
"psi(SHR_100m)",0.154761960434462,0.219650425958894,0.70458301985458,0.4810698
"psi(FOR1_1km)",0.0851587518545663,0.194792097537311,0.437177652128596,0.6619825
"psi(CLT_100m)",0.0603204501296289,0.13135836744898,0.459205236035364,0.6460868
"p(Int)",-9.708197433535,153.73649958883,0.0631482924321788,0.9496484
"p(DAY)",-0.00384151041846944,0.00125490081720855,3.06120640435525,0.0022045
"p(EFFORT_DISTANCE_KM)",0.133001343818237,0.0404101403868783,3.29128635894134,0.0009973
"p(EFFORT_HRS)",1.02418143459921,0.107297977673742,9.54520725184031,0
"p(COUNT_TYPEtravelling)",0.196633346255767,0.107876618426592,1.8227614947865,0.0683395
"p(TIME)",0.0142388232728847,0.0109367339165264,1.30192646008957,0.1929415
"p(NUMBER_OBSERVERS)",8.2111187144232,153.736463095877,0.053410352684531,0.957405
"psi(SHDI_100)",0.0277850358171162,0.0828408917162635,0.335402423144865,0.7373215
"psi(RLU100)",0.00526075927742439,0.0172640248457996,0.30472380133908,0.7605765
"psi(BAR_1km)",0.0060661683882959,0.0447252311169785,0.135631907019773,0.8921123
