"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.292009962075609,0.146029571927368,1.99966320671576,0.0455366
"psi(PAR_1k)",1.69707425257642,0.203576705596677,8.33628900518036,0
"psi(FOR1_1km)",-0.953128579100889,0.180126125064911,5.29145108049938,1e-07
"psi(RHU1KM)",0.838253353798806,0.13273410369765,6.31528243644324,0
"psi(WET_1km)",0.426507524349994,0.0951219483334247,4.48379718690145,7.3e-06
"psi(RUR_1km)",0.359294259656038,0.13969652362891,2.57196278277094,0.0101124
"psi(RHU100)",-0.364615279942999,0.0995065229119863,3.66423495940564,0.0002481
"psi(CR_CL_MN)",0.497851162181857,0.199006589485405,2.50168179591042,0.0123605
"psi(PAR_100)",0.29483333406087,0.139522497114206,2.1131598140731,0.0345871
"psi(SAV_100m)",-0.187227635633774,0.146413237869169,1.2787616636214,0.200981
"psi(HRB_1km)",0.259425469648808,0.259767393366098,0.998683731191745,0.3179479
"psi(nr_fw)",-0.0805564074940816,0.0949893724684205,0.848057055233866,0.3964062
"psi(RUR_100m)",0.104570078875102,0.122915813382676,0.850745530597779,0.3949107
"p(Int)",-7.54700298305095,102.379824817378,0.0737157247193288,0.9412366
"p(COUNT_TYPEtravelling)",0.418458194055553,0.0949490917210701,4.40718480261874,1.05e-05
"p(EFFORT_HRS)",1.0770185272559,0.10115738207032,10.6469592748773,0
"p(TIME)",-0.0759842689106906,0.00973093988186873,7.80852310600223,0
"p(DAY)",-0.00227336254929032,0.00112988641533778,2.01202750863298,0.044217
"p(EFFORT_DISTANCE_KM)",-0.0697918420743689,0.0409614349676332,1.70384270300874,0.0884105
"p(NUMBER_OBSERVERS)",7.73440824277147,102.379706397154,0.0755463022404843,0.9397801
"psi(FOR2_100m)",-0.0343068020111434,0.0998057193091892,0.343735832461304,0.731045
"psi(FOR1_100m)",-0.0751110127989208,0.185936543814926,0.403960465532172,0.6862418
"psi(WET_100m)",-0.00938735421394993,0.041596007501465,0.225679212448918,0.8214509
"psi(SHDI_1k)",0.0167922376568874,0.0675439604430804,0.24861197872811,0.8036609
"psi(FOR2_1km)",-0.013907290954012,0.0643026761573784,0.216278571672109,0.8287706
