"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.15383614271226,0.160741758375365,7.17819783965422,0
"psi(BAR_1km)",0.423237483265407,0.164019608636046,2.5804078352885,0.0098684
"psi(WET_100m)",0.292642859607557,0.0973399473184925,3.006400431367,0.0026436
"psi(WAT_100m)",0.387162214616674,0.155726084747375,2.4861744597557,0.0129125
"psi(nr_fw)",-0.530793509450369,0.144476304169076,3.67391395082475,0.0002389
"psi(BAR_100m)",0.374590674202927,0.172822187244889,2.16749180284434,0.0301974
"psi(WET_1km)",0.259013173855823,0.144050849890819,1.79806765494363,0.0721663
"psi(WAT_1km)",0.166249130685459,0.100090746676711,1.66098401905659,0.0967167
"psi(CLT_100m)",-0.124119403917827,0.169172287504817,0.733686384150199,0.4631399
"psi(SHDI_1k)",0.106603647067066,0.144389179532358,0.738307727852804,0.4603275
"psi(RUR_1km)",-0.072740340080497,0.127185213374557,0.57192450404025,0.5673731
"psi(FOR1_100m)",-0.0431144949392712,0.13150134668096,0.327863524043392,0.7430149
"p(Int)",-1.92293969302162,44.5682337979904,0.0431459703280484,0.9655852
"p(COUNT_TYPEtravelling)",0.378869812427893,0.163422497738231,2.31834550120977,0.0204306
"p(EFFORT_HRS)",1.001419984071,0.160361778988122,6.24475476881045,0
"p(TIME)",-0.0430703493381737,0.0158873088424817,2.71099087738549,0.0067082
"p(EFFORT_DISTANCE_KM)",-0.0732885323968592,0.0576600887244857,1.27104439167706,0.2037129
"p(DAY)",-0.00133550385623847,0.00180063950971959,0.741683079278011,0.4582794
"p(NUMBER_OBSERVERS)",0.41236441551855,44.5678958796006,0.00925249907764425,0.9926177
"psi(RHU100)",0.0977144786000751,0.109173903803665,0.895035124655812,0.3707683
"psi(SHDI_100)",0.020308749064825,0.0699941550754835,0.29014921378683,0.7717021
"psi(RHU1KM)",-0.0343185307880807,0.0839468825499595,0.408812450750112,0.6826773
"psi(CLT_1km)",-0.0435769332954252,0.107873970096906,0.403961523398823,0.686241
"psi(CR_CL_MN)",-0.0132969021418342,0.0613425463290248,0.216764756886896,0.8283917
