"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.11151588740829,0.148627795355346,0.750303044875777,0.4530722
"psi(RHU1KM)",0.292267799376842,0.146918878721494,1.9893141161993,0.0466665
"psi(WET_100m)",0.213908641322791,0.095976281297712,2.22876567450306,0.0258295
"psi(RLU1KM)",0.296990892585971,0.0856553783358533,3.4672766422381,0.0005258
"psi(FOR1_1km)",-0.81069740679594,0.19648312637433,4.12604085529176,3.69e-05
"psi(CR_CL_MN)",0.584615438328358,0.245081406724626,2.38539286248358,0.0170609
"psi(WAT_1km)",-0.226993524304065,0.075755572274763,2.99639376336261,0.0027319
"psi(RHU100)",-0.184481243451368,0.0976584469636422,1.88904543526121,0.0588857
"psi(FOR1_100m)",-0.224583271283245,0.276881960742446,0.811115576764319,0.4172993
"psi(FOR2_100m)",-0.144962267732846,0.181527794837014,0.798567887981019,0.424541
"psi(CLT_1km)",-0.279654087957219,0.247888749143206,1.12814352778738,0.2592593
"psi(CLT_100m)",0.286188014273582,0.226564049023583,1.2631660473361,0.2065295
"psi(SHR_100m)",0.261408625357179,0.236365668574099,1.10595006006649,0.2687481
"p(Int)",-8.32111818513304,197.830317915603,0.0420618956326146,0.9664494
"p(COUNT_TYPEtravelling)",0.722783365716637,0.117073256921942,6.17377003698248,0
"p(EFFORT_HRS)",0.87837719054582,0.110953240157617,7.91664298670342,0
"p(TIME)",-0.0918294174762753,0.0111666338569197,8.22355408558244,0
"p(DAY)",-0.00224380646448686,0.00129983196058222,1.72622810680992,0.0843064
"p(EFFORT_DISTANCE_KM)",0.0769446480413457,0.0459269724655875,1.67536948138698,0.0938618
"p(NUMBER_OBSERVERS)",7.7828009466637,197.83025654419,0.0393408019714376,0.9686187
"psi(RUR_100m)",0.0840662021881607,0.115425808152238,0.728313741388615,0.4664216
"psi(RUR_1km)",-0.026477396612326,0.0799775766464088,0.331060251167474,0.740599
"psi(WAT_100m)",0.0359407090341177,0.0736776753000746,0.487810030483973,0.6256844
"psi(SAV_1km)",0.00368106626406375,0.0297715063519527,0.123643937278381,0.9015972
