"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.38849945349306,0.17752858769369,2.1883768611024,0.0286422
"psi(CLT_1km)",0.383981975039187,0.185060417063422,2.07490062506231,0.0379957
"psi(CR_CL_MN)",-0.750419324600168,0.156467808347606,4.79599818342856,1.6e-06
"psi(WET_1km)",0.268036910291102,0.147351711775394,1.81902814064126,0.0689071
"psi(RUR_100m)",0.269748078001618,0.103463086529251,2.6071914829774,0.0091288
"psi(SAV_100m)",0.191056014413643,0.0949785526983706,2.01157007540841,0.0442653
"psi(RHU1KM)",-0.334656574929362,0.122546990318243,2.73084287145926,0.0063173
"psi(nr_fw)",-0.141849716085907,0.134503554484538,1.05461685848766,0.2916006
"psi(WET_100m)",0.0842323939561219,0.114312171971577,0.736862859862952,0.4612058
"psi(RLU1KM)",0.119023615042089,0.0772983177079274,1.53979567177413,0.1236102
"psi(RUR_1km)",0.141498536909608,0.157889279862223,0.896188373479707,0.3701522
"psi(SHDI_1k)",-0.0517481252946032,0.120050040954675,0.431054624247406,0.6664287
"p(Int)",-6.07583712046621,0.382129539863428,15.8999409536297,0
"p(COUNT_TYPEtravelling)",0.515915218996214,0.170219150143825,3.03088823179001,0.0024384
"p(DAY)",0.0384932920575425,0.0024571444233022,15.665864689309,0
"p(EFFORT_HRS)",0.889811458232901,0.168583692945031,5.27815853768869,1e-07
"p(TIME)",-0.0818093269371092,0.0161332018718488,5.07086736947489,4e-07
"p(EFFORT_DISTANCE_KM)",-0.0803104216992731,0.0667658664398302,1.20286646428305,0.229028
"psi(SHDI_100)",-0.0431629228498213,0.0972189889862444,0.443976257106813,0.6570597
"psi(FOR1_1km)",-0.0438331094326402,0.132814612911758,0.330032279367956,0.7413756
"psi(BAR_1km)",-0.0385479074726079,0.0778097300515119,0.495412430387412,0.620309
"psi(HRB_100m)",-0.0135169636747493,0.0588942330413479,0.229512517214707,0.8184706
"psi(RHU100)",-0.000703594682040102,0.011770053303591,0.0597783768596389,0.9523321
