"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.566828585228256,0.223355840340831,2.53778268955627,0.0111557
"psi(SHR_1km)",0.950473318923809,0.291432181431314,3.2613876554598,0.0011087
"psi(CR_CL_MN)",0.481927392333361,0.134885788382981,3.57285521410918,0.0003531
"psi(CLT_100m)",0.35940771435346,0.22785714466067,1.57733791884691,0.1147178
"psi(FOR2_1km)",-0.542586227924962,0.154479933743939,3.51234114862023,0.0004442
"psi(RUR_1km)",0.339131141897198,0.13622812004338,2.48943567443496,0.0127946
"psi(WET_1km)",0.265259184194945,0.101616823378657,2.61038650270048,0.009044
"psi(SAV_1km)",0.363521753477789,0.174563256629929,2.08246431978781,0.0373001
"psi(nr_urb)",-0.288949651982459,0.380040664361682,0.760312458846423,0.4470678
"p(Int)",-7.99398453816986,185.550238263546,0.0430825883759611,0.9656357
"p(DAY)",0.0673957088797622,0.00364982396999155,18.4654683167962,0
"p(EFFORT_HRS)",1.26288772185301,0.201235940248939,6.2756569243583,0
"p(TIME)",-0.0834001586906552,0.017876716255373,4.66529520854193,3.1e-06
"p(COUNT_TYPEtravelling)",0.415607671463861,0.200796860610409,2.06979168001154,0.0384719
"p(EFFORT_DISTANCE_KM)",-0.134405248047601,0.0803163244870678,1.67344869061136,0.094239
"p(NUMBER_OBSERVERS)",-2.20010657284342,185.550024833821,0.0118572151893477,0.9905395
"psi(BAR_1km)",-0.0730450321300252,0.105802608908125,0.69038970667968,0.4899491
"psi(SHDI_1k)",0.107481740684247,0.157396437552349,0.682872766091032,0.4946872
"psi(WAT_100m)",-0.0584065757120855,0.0977305747383578,0.597628489021479,0.5500879
"psi(CLT_1km)",0.104685074408752,0.209619695423368,0.499404763456598,0.6174943
