"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.01184271152905,0.503752231283961,2.00861187046273,0.0445783
"psi(CR_CL_MN)",0.880401019007178,0.170620035952913,5.16000957384717,2e-07
"psi(FOR2_100m)",1.74548565612118,0.964917962574258,1.8089472098379,0.0704592
"psi(nr_urb)",2.50087601335091,0.852220214044594,2.9345420023328,0.0033404
"psi(RLU1KM)",0.211110473494619,0.066770772118702,3.1617198183558,0.0015684
"psi(SAV_100m)",0.184706020335669,0.305949244455698,0.603714582346075,0.5460334
"psi(SHDI_1k)",0.339029223981668,0.142583771099804,2.37775464463173,0.0174184
"psi(SHR_1km)",-0.643005007014835,0.327732439202767,1.96198157429576,0.0497646
"psi(BAR_1km)",-0.129753417735991,0.122021562595412,1.06336466257374,0.2876166
"p(Int)",-5.32839922459939,44.6397046930311,0.119364571545457,0.9049865
"p(COUNT_TYPEtravelling)",1.20950721096992,0.168362149314253,7.18396157269494,0
"p(EFFORT_HRS)",0.954968141294685,0.152953869697406,6.24350428782177,0
"p(TIME)",-0.0775567873608213,0.015409537016577,5.03303812939924,5e-07
"p(DAY)",-0.00353258974947144,0.00175162335839667,2.01675190761613,0.0437214
"p(EFFORT_DISTANCE_KM)",-0.0330793224544896,0.0579230194180424,0.571091127272721,0.5679379
"p(NUMBER_OBSERVERS)",3.73822207849382,44.6392836578629,0.0837428778460104,0.9332609
"psi(SHDI_100)",0.130420767905976,0.164928223499897,0.790772889796257,0.4290765
"psi(WAT_1km)",-0.0515647257847799,0.0865498079742682,0.595780938071063,0.5513216
"psi(RUR_1km)",0.00695560774636269,0.0467430443464118,0.148805193235058,0.8817074
"psi(CLT_1km)",0.00564529117546414,0.0398371282992916,0.141709290214188,0.8873096
