"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.175287197828853,0.415578978736432,0.421790337812115,0.6731781
"psi(CR_CL_MN)",0.690323766091274,0.177687502994126,3.88504399273423,0.0001023
"psi(SHR_1km)",1.39772962568812,0.397665746249028,3.514835358268,0.00044
"psi(nr_urb)",1.44474980514026,0.653924674429442,2.20935202728176,0.0271502
"psi(RUR_100m)",0.280448286133857,0.15082235369589,1.85946100999947,0.0629618
"psi(FOR1_1km)",0.478843434674839,0.332747784285832,1.43905822153728,0.150134
"psi(WAT_1km)",-0.0868408649298767,0.135943666796441,0.63880037206816,0.5229528
"psi(SAV_1km)",-0.149143766033837,0.213827873269556,0.697494502252393,0.4854934
"psi(SAV_100m)",0.150657837664392,0.144067057478456,1.04574800305699,0.2956774
"psi(PAR_1k)",0.190967208380758,0.209695205713589,0.910689434843777,0.362459
"psi(CLT_100m)",0.141649679241822,0.203905593692867,0.694682655225152,0.4872542
"p(Int)",-6.0466346595737,0.645335906409648,9.36974775387037,0
"p(COUNT_TYPEtravelling)",1.18231154482729,0.314026101677452,3.76501041955324,0.0001665
"p(DAY)",0.0264724635170611,0.00378311248511671,6.99753539478603,0
"p(EFFORT_HRS)",0.746257769044455,0.289769556994798,2.57534910424649,0.0100139
"p(TIME)",-0.0514230339028653,0.0259135773479094,1.98440505579265,0.0472107
"p(EFFORT_DISTANCE_KM)",0.0962940796560067,0.10519823605464,0.915358310817985,0.3600036
"psi(RUR_1km)",0.0804607052395414,0.163642144262962,0.491686940439049,0.6229407
"psi(nr_rd)",0.00772189793485731,0.0795870657019432,0.0970245336569655,0.9227069
