"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.24589321455478,0.1890166262155,6.59144774457208,0
"psi(RHU1KM)",0.840371159732798,0.165948337364228,5.06405290393678,4e-07
"psi(RLU1KM)",0.492267303591434,0.105402077689566,4.67037571158016,3e-06
"psi(FOR1_1km)",-0.942836644147428,0.219014324367532,4.30490858015861,1.67e-05
"psi(RHU100)",-0.34187660270507,0.123097226458625,2.7772892415247,0.0054814
"psi(WET_100m)",0.289379071594783,0.103340760060039,2.80024137065239,0.0051064
"psi(RUR_100m)",0.294808172290332,0.120431653572834,2.44792929055017,0.014368
"psi(SHDI_100)",-0.31967645939479,0.132318044112744,2.41597025967526,0.0156933
"psi(SHR_100m)",0.579000563861494,0.253167644715628,2.28702433327079,0.0221944
"psi(SAV_100m)",0.0943939979170628,0.125665546753497,0.751152566122395,0.4525608
"psi(SAV_1km)",-0.0981307572606899,0.138700170042704,0.707502789870242,0.4792541
"psi(WET_1km)",-0.0726908195693651,0.0985463892108128,0.737630471816305,0.460739
"p(Int)",-6.85757385634186,119.50520768671,0.0573830545888793,0.9542401
"p(COUNT_TYPEtravelling)",0.973891284983805,0.127091666297217,7.66290436940419,0
"p(EFFORT_HRS)",0.640831347038491,0.120939008128786,5.2987977738008,1e-07
"p(TIME)",-0.0523062884346709,0.0123624918875425,4.23104734146513,2.33e-05
"p(DAY)",-0.00224254713778237,0.0014456359966579,1.55125297306294,0.1208411
"p(EFFORT_DISTANCE_KM)",-0.061069190772832,0.0505505338079439,1.2080820156094,0.2270157
"p(NUMBER_OBSERVERS)",5.66520395732363,119.505081479552,0.0474055486778021,0.96219
"psi(FOR2_100m)",-0.00402071948587663,0.0372593314101146,0.107911745426144,0.9140657
