"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.523731676305463,0.522087190221015,1.00314983036407,0.3157886
"psi(WET_1km)",0.510391585462461,0.168966712686444,3.02066352210809,0.0025222
"psi(WAT_100m)",5.15089316079812,2.59533298890411,1.98467525470522,0.0471806
"psi(CR_CL_MN)",-0.850717717934796,0.17596352866541,4.83462524528259,1.3e-06
"psi(RHU100)",-0.116651705688977,0.0731230761285934,1.59527897163181,0.1106499
"psi(SHR_1km)",-0.616107621008979,0.19916112931573,3.09351339353104,0.001978
"psi(RHU1KM)",-0.419957529179308,0.0980653579263366,4.28242488539904,1.85e-05
"psi(CLT_1km)",-0.525060537234813,0.174568302918263,3.00776560496586,0.0026318
"psi(nr_fw)",-0.282986884805545,0.0819633659817388,3.45260204258319,0.0005552
"psi(WET_100m)",0.302714408815682,0.112974424806714,2.67949502140498,0.0073733
"psi(RUR_100m)",0.262180980418427,0.0916241528530155,2.86148326892606,0.0042166
"psi(PAR_1k)",-0.139136126363085,0.101311115675321,1.37335499106518,0.169642
"psi(RUR_1km)",-0.251821806974685,0.0995285159287571,2.5301473112986,0.0114015
"psi(FOR1_100m)",-0.255932809013676,0.236785708554553,1.08086256799874,0.2797583
"psi(HRB_1km)",-0.272208394228467,0.230313135204474,1.18190564331816,0.2372431
"psi(CLT_100m)",0.0788908429424549,0.159440681718091,0.494797451267442,0.6207431
"p(Int)",-14.8256681583969,1399.36264791655,0.0105945861714047,0.9915469
"p(COUNT_TYPEtravelling)",0.361208479678673,0.0980324227542314,3.68458178968225,0.0002291
"p(DAY)",-0.00912754747180495,0.00119686274052276,7.62622743842644,0
"p(EFFORT_HRS)",0.835324236446252,0.103699123778601,8.05526802935851,0
"p(NUMBER_OBSERVERS)",15.1353898268317,1399.36259963161,0.0108159170688256,0.9913703
"p(TIME)",-0.0155398272998246,0.0100615888881311,1.54447050784948,0.1224744
"p(EFFORT_DISTANCE_KM)",-0.0243548573881318,0.038793805320466,0.627802742910687,0.5301332
"psi(RLU1KM)",0.0438093161194805,0.0653551298060668,0.670327122744293,0.5026493
"psi(FOR1_1km)",-0.00889846131100281,0.057864865450863,0.15378003978181,0.8777832
"psi(RLU100)",0.000488385921121176,0.00538372340735206,0.0907152697432843,0.9277188
