"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.35080870151408,0.449178870120296,3.00728460613544,0.0026359
"psi(PAR_1k)",-0.72552930195234,0.210678533038114,3.44377422554524,0.0005737
"psi(RHU1KM)",-0.639034580119841,0.215443490793969,2.96613547137035,0.0030157
"psi(WET_1km)",-0.568302175787796,0.158789067139261,3.57897546743179,0.0003449
"psi(FOR2_100m)",-0.633568305063697,0.396201616217847,1.59910580656323,0.1097971
"psi(SHDI_1k)",0.618210316810371,0.202374514619829,3.05478344430726,0.0022522
"psi(nr_urb)",2.89282038894926,1.27838507769892,2.26287089814621,0.0236436
"psi(WAT_1km)",-0.287142614991579,0.124491658569832,2.30652092108252,0.0210815
"psi(FOR2_1km)",-0.712244302498774,0.308414604455332,2.30937281247305,0.0209229
"psi(RLU1KM)",0.295000231843498,0.140218697651679,2.10385802167637,0.0353908
"psi(RLU100)",-0.1376835514485,0.0920412431090573,1.49588974244255,0.1346824
"psi(nr_rd)",-0.480960467938793,0.623037980388551,0.771960110102512,0.4401381
"p(Int)",-10.3190692679825,383.538687800105,0.0269048979834876,0.9785356
"p(DAY)",0.00979958718948823,0.0033971949452031,2.88461137719677,0.003919
"p(EFFORT_HRS)",0.726757126245392,0.278202749032425,2.6123290613519,0.0089928
"p(TIME)",-0.0345612065409152,0.0294184583125731,1.17481365521266,0.2400693
"p(COUNT_TYPEtravelling)",0.470209736521166,0.297656039627614,1.57970836778393,0.1141737
"p(EFFORT_DISTANCE_KM)",0.00209844137537279,0.119692813205577,0.0175318911735213,0.9860123
"p(NUMBER_OBSERVERS)",7.07718195142359,383.538230433471,0.0184523507433015,0.985278
"psi(FOR1_100m)",-0.0247300321592707,0.114897931453888,0.215234790098859,0.8295843
"psi(RUR_1km)",-0.00843636206021772,0.0577989527642754,0.145960465661449,0.8839526
