"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",3.56999801787585,0.621755386489224,5.74180472811669,0
"psi(FOR1_1km)",2.23237204703527,0.443695036358933,5.0313207588587,5e-07
"psi(CR_CL_MN)",0.939679274025207,0.178775718524708,5.25619072757543,1e-07
"psi(SHDI_100)",-0.40788611981977,0.121316928327202,3.36215337335007,0.0007734
"psi(SAV_1km)",1.09248338168404,0.312266674032297,3.49855899631173,0.0004678
"psi(SHDI_1k)",-0.324388947339598,0.149002758497229,2.17706672420854,0.0294756
"psi(FOR2_1km)",-0.617327583074725,0.154360140200673,3.99926809001456,6.35e-05
"psi(PAR_1k)",-0.240251427177281,0.0883507948212491,2.71928993579918,0.0065422
"psi(RUR_1km)",0.226415431877711,0.158132846317084,1.43180520145517,0.1521996
"psi(FOR1_100m)",0.568443805138666,0.650305569815777,0.874118001633753,0.382054
"psi(nr_urb)",1.61737908108664,1.03539508549207,1.56208881396996,0.1182671
"psi(WET_1km)",-0.147354822503641,0.122353084874568,1.20434088486371,0.2284579
"p(Int)",-9.04184116281138,180.643180975951,0.0500535980044279,0.9600797
"p(DAY)",-0.00683933671715775,0.00126620107929938,5.40146176541102,1e-07
"p(EFFORT_HRS)",1.09057375569919,0.110543994865072,9.86551786038059,0
"p(TIME)",-0.0675348801070761,0.0108052139501692,6.25021220482345,0
"p(EFFORT_DISTANCE_KM)",-0.0487256016216639,0.0451305170920072,1.07965972386993,0.2802937
"p(COUNT_TYPEtravelling)",0.127258963150699,0.107286946314586,1.18615514302692,0.235561
"p(NUMBER_OBSERVERS)",9.32587742379695,180.643119411133,0.0516259764235571,0.9588267
"psi(CLT_1km)",-0.0493672895559695,0.10284333459088,0.480024201396785,0.6312102
"psi(BAR_100m)",-0.0277608634983451,0.0657571511135563,0.422172539841405,0.6728991
"psi(WAT_1km)",-0.00879595709994277,0.0370851987964253,0.237182417390483,0.8125153
"psi(WET_100m)",-0.00793009279473065,0.0362175186937407,0.218957374241686,0.8266833
"psi(RLU1KM)",0.00879097493183416,0.0306199821676319,0.287099283197069,0.7740363
