"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.709508417771181,0.425762739093711,1.66644084280709,0.0956256
"psi(WET_1km)",0.905474419792409,0.40683295205403,2.22566637048652,0.0260365
"psi(CLT_1km)",0.692487331247936,0.329358131701735,2.10253600744569,0.0355063
"psi(PAR_1k)",0.810216617730201,0.250518207573082,3.23416260071173,0.00122
"psi(FOR1_100m)",-0.58414330025908,0.287135602105756,2.03438130268476,0.0419132
"psi(RHU100)",-0.370147058918284,0.140138561500511,2.6412934095726,0.008259
"psi(nr_fw)",-0.276929955797772,0.157554995585456,1.75767169278722,0.0788034
"psi(SHDI_1k)",-0.340845267747781,0.30161309603048,1.13007449687574,0.2584448
"psi(HRB_1km)",0.337446403018905,0.497059207219022,0.678885730548825,0.4972103
"psi(FOR2_1km)",0.153829987990917,0.243168246502356,0.632607218267812,0.5269902
"psi(CR_CL_MN)",-0.2956925900347,0.306463905675754,0.964852906193624,0.3346185
"psi(RUR_1km)",0.0724346599730712,0.15370871791573,0.471246269927143,0.6374649
"psi(nr_urb)",0.358678773042075,0.364320348660242,0.984514794084619,0.3248625
"p(Int)",-12.0845039356089,0.611324922726399,19.7677265989977,0
"p(COUNT_TYPEtravelling)",1.5384441339682,0.224544709538559,6.85139336896296,0
"p(DAY)",0.0644463764735231,0.00361491533777559,17.8279075584602,0
"p(EFFORT_HRS)",0.973700597536597,0.20967362007493,4.64388699536276,3.4e-06
"p(EFFORT_DISTANCE_KM)",-0.13555100243869,0.0787455948357063,1.72137886216367,0.0851821
"p(TIME)",-0.00549470144688091,0.019275081550778,0.285067610863578,0.7755923
"psi(WAT_1km)",-0.0184857970459602,0.0623477138525977,0.296495186490145,0.7668519
"psi(FOR1_1km)",0.0181289134081553,0.104412882066531,0.173627171756486,0.8621585
"psi(RHU1KM)",0.0112061223480694,0.0534926554715205,0.209488989643364,0.8340665
"psi(SAV_100m)",-0.0384137892902977,0.114830820636725,0.33452507852245,0.7379834
"psi(HRB_100m)",-0.00133390093922248,0.0203118632574701,0.065671027926594,0.9476397
