"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.3220835096279,0.222292055117383,10.4460931291571,0
"psi(PAR_1k)",-0.618288030802179,0.185044263227137,3.34129802253446,0.0008339
"psi(SAV_100m)",0.364218037433531,0.109596250162408,3.32327097773696,0.0008897
"psi(CLT_1km)",0.548211684771338,0.168515570045188,3.25318120233242,0.0011412
"psi(RUR_1km)",0.466509469077349,0.166779072660763,2.79717030221324,0.0051552
"psi(FOR2_1km)",0.35740042012731,0.205761631897258,1.73696338249188,0.0823936
"psi(PAR_100)",-0.269280100186501,0.305839361021023,0.880462538528489,0.3786088
"psi(WAT_1km)",-0.132862351343811,0.178606970202191,0.743881110537876,0.4569484
"psi(SHR_100m)",0.200902849461383,0.257529947673346,0.780114512026425,0.4353235
"psi(CR_CL_MN)",-0.09841948907372,0.179896806235489,0.547088584468179,0.5843179
"p(Int)",-8.69187980513748,125.848803186462,0.0690660505706939,0.944937
"p(COUNT_TYPEtravelling)",1.87528282146953,0.425871625330884,4.40339931079587,1.07e-05
"p(DAY)",0.0370809341850338,0.00550869709604631,6.73134382568384,0
"p(TIME)",-0.0629024955061108,0.0383125097490293,1.64182654485862,0.100626
"p(EFFORT_HRS)",-0.0889791210331255,0.382516412113395,0.232615172095539,0.8160602
"p(EFFORT_DISTANCE_KM)",0.000112525771214651,0.140212599160129,0.000802536804029584,0.9993597
"p(NUMBER_OBSERVERS)",2.17855244046835,125.847779698619,0.017311012126599,0.9861885
"psi(nr_fw)",0.101688522435581,0.142466835013586,0.713769786672691,0.4753695
"psi(BAR_1km)",-0.00830013014925539,0.0574141126250783,0.144566026883605,0.8850535
"psi(SAV_1km)",0.00319719824248592,0.0314426190870085,0.101683585379404,0.9190078
