"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.499618080876,0.391004269485151,6.39281531162649,0
"psi(CLT_1km)",0.793296857664757,0.151334333833406,5.24201506406367,2e-07
"psi(WET_1km)",0.440312934391362,0.118688385861746,3.70982325856433,0.0002074
"psi(CR_CL_MN)",-1.13536896252523,0.260802056988975,4.35337426258577,1.34e-05
"psi(WAT_100m)",0.304646602925559,0.102483740762986,2.9726335188146,0.0029526
"psi(HRB_1km)",0.796734600057492,0.438434176909845,1.81722740155206,0.0691823
"psi(nr_fw)",-0.354736289295844,0.202510091983166,1.75169684543589,0.0798259
"psi(SAV_1km)",-0.977989108662258,0.375098567799302,2.60728563801271,0.0091263
"psi(FOR1_1km)",0.830798590178674,0.323778435988169,2.56594787618602,0.0102894
"psi(nr_urb)",-1.00275394083019,1.24362547965611,0.806315050016077,0.4200612
"psi(SAV_100m)",0.348157772295634,0.228065223479574,1.52657107025708,0.1268677
"psi(SHDI_100)",0.282376906150539,0.204179644759981,1.38298264982526,0.1666702
"psi(RUR_1km)",0.0824073048528401,0.152461882985026,0.540510868942459,0.5888448
"psi(FOR2_1km)",-0.159037701885279,0.289001315110546,0.550300962555987,0.582113
"p(Int)",-3.30163361044223,31.8318694357777,0.103721008818016,0.9173908
"p(DAY)",0.0357992666952119,0.00351065523556074,10.1973176780755,0
"p(EFFORT_HRS)",0.507339266724268,0.262589822772156,1.93205989999269,0.0533521
"p(EFFORT_DISTANCE_KM)",-0.00594229281651043,0.102685974942392,0.0578685922770281,0.9538533
"p(COUNT_TYPEtravelling)",-0.216804112685599,0.264411779662732,0.819948766889814,0.4122453
"p(TIME)",-0.0022565791271194,0.0259089751474706,0.0870964256314749,0.9305949
"p(NUMBER_OBSERVERS)",-2.72045241315544,31.8296806697183,0.085469045114976,0.9318885
"psi(FOR1_100m)",-0.0682101829543746,0.262314099768371,0.260032468763996,0.7948387
"psi(HRB_100m)",0.0240197968769898,0.0876483868302447,0.274047221468101,0.7840483
"psi(BAR_100m)",-0.0122587461967571,0.0508835740882756,0.240917553776588,0.809619
"psi(nr_rd)",-0.0402858909910585,0.221179139643921,0.182141458077444,0.8554717
"psi(RHU1KM)",-0.00157331222232136,0.0224333736456228,0.070132662486471,0.9440881
