"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.71038900819574,0.439700809491633,3.88989278908363,0.0001003
"psi(FOR1_1km)",1.69114414187457,0.301067980256341,5.61715045364395,0
"psi(CLT_1km)",0.678812038752018,0.176606720306442,3.84363651379838,0.0001212
"psi(PAR_1k)",-0.874573579740525,0.154042414089129,5.67748554780826,0
"psi(nr_urb)",3.05626597646094,1.11823293259263,2.73312105857494,0.0062737
"psi(SHR_1km)",0.811385898432141,0.297025880671518,2.73170101069225,0.0063008
"psi(BAR_1km)",-0.0563787154989735,0.0871292717564911,0.647069743180464,0.5175868
"psi(WAT_1km)",-0.113292273182006,0.121618963439063,0.931534605939726,0.3515771
"psi(RHU1KM)",-0.0876595093184471,0.138816844764007,0.631476024883515,0.5277293
"psi(RUR_1km)",-0.102280244171998,0.140656214661373,0.727164771341496,0.467125
"psi(nr_fw)",0.0775745061248608,0.105044108444373,0.738494593116003,0.460214
"p(Int)",-7.83867190927405,102.360977503648,0.0765787129083905,0.9389587
"p(DAY)",-0.00683744607379458,0.00175336458102338,3.89961457405726,9.63e-05
"p(EFFORT_HRS)",0.878190554546013,0.149875699233162,5.85945926550649,0
"p(TIME)",-0.0622454592117653,0.0159433495151331,3.90416450148591,9.46e-05
"p(COUNT_TYPEtravelling)",0.314782447988893,0.157400018476434,1.99988825310095,0.0455123
"p(EFFORT_DISTANCE_KM)",0.0514841877896688,0.0541205120405039,0.951287891569428,0.3414583
"p(NUMBER_OBSERVERS)",7.51584152886361,102.360774353237,0.0734250163341595,0.9414679
"psi(BAR_100m)",-0.0504331773274259,0.0848951134571222,0.594064549461944,0.5524689
"psi(SAV_1km)",0.00650161489604879,0.0466259470712354,0.139441991089545,0.8891009
"psi(SAV_100m)",0.0405138937573963,0.0922928228618874,0.438971227676325,0.6606824
"psi(FOR2_1km)",0.0761868001899522,0.134701872543628,0.565595702207306,0.5716687
"psi(RLU1KM)",0.00235615396654478,0.0177608782016467,0.13265976714633,0.8944625
"psi(SHDI_1k)",-0.00392287982245204,0.0357427635616519,0.109753120115784,0.9126052
