"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.762123079865839,0.164361030715884,4.63688428179336,3.5e-06
"psi(WET_1km)",1.17418391472073,0.180620689840643,6.50082731804801,0
"psi(CLT_1km)",0.817647746983953,0.138264007658578,5.91367023732605,0
"psi(SHR_1km)",0.85747411526821,0.175088120485995,4.89738602989229,1e-06
"psi(BAR_100m)",-0.16997032357633,0.148075615601133,1.14786167112197,0.2510257
"psi(CR_CL_MN)",-0.563285892355605,0.137814161384618,4.08728599946679,4.36e-05
"psi(WET_100m)",0.249945397078655,0.0934577489886881,2.67442132710588,0.0074858
"psi(nr_urb)",0.725346305361267,0.247925642852243,2.92566068203584,0.0034373
"psi(RUR_1km)",0.254936987739232,0.161274927420578,1.58076020753306,0.1139329
"psi(RLU1KM)",0.0757937918690391,0.0692922267409933,1.09382820315976,0.2740303
"psi(nr_fw)",-0.208332038226008,0.150309761026885,1.38601802572718,0.1657414
"p(Int)",-8.23467466490483,44.3066849357822,0.185856257962881,0.8525575
"p(COUNT_TYPEtravelling)",0.731647145608705,0.190242306098679,3.84586983102064,0.0001201
"p(DAY)",0.0386953637013675,0.00252946102289097,15.2978691314807,0
"p(TIME)",-0.0872075001111156,0.0178414709881301,4.88790975638358,1e-06
"p(EFFORT_HRS)",0.186103476393193,0.176114993033684,1.05671569005825,0.2906414
"p(EFFORT_DISTANCE_KM)",-0.0465854147656586,0.0615603071865595,0.756744351916256,0.449203
"p(NUMBER_OBSERVERS)",3.38056293193377,44.3058296713148,0.076300634860303,0.9391799
"psi(SAV_100m)",-0.0322211426415205,0.0955667518918928,0.337158499202419,0.7359974
"psi(SAV_1km)",0.0334702136011758,0.0921577826476524,0.36318379891086,0.7164676
"psi(SHDI_1k)",-0.0420747872173327,0.114312629316172,0.36806770580843,0.7128228
"psi(SHDI_100)",0.0298970465010001,0.0870577507550638,0.343416252334788,0.7312853
"psi(BAR_1km)",-0.0759189792340872,0.120382180043279,0.630649646042243,0.5282696
"psi(RLU100)",0.00790230658131548,0.0217756679473106,0.362896173859569,0.7166824
"psi(RUR_100m)",0.00753675643398206,0.0382231933075701,0.197177571568554,0.8436886
"psi(WAT_1km)",-0.00918493800175149,0.0430650439753632,0.21328059033229,0.8311081
