"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.727934885197906,0.124862267598241,5.8299028137157,0
"psi(FOR1_1km)",-0.826568171112347,0.171393045236309,4.82264709150079,1.4e-06
"psi(CLT_1km)",-0.590621861732604,0.122977464254409,4.80268368935269,1.6e-06
"psi(FOR2_1km)",-0.349057461701579,0.101384262869974,3.44291561451946,0.0005755
"psi(SAV_1km)",-0.193275476557588,0.0829505702300799,2.33000781093487,0.0198057
"psi(CR_CL_MN)",-0.151540430682725,0.166371390455308,0.910856309296959,0.3623711
"psi(RUR_1km)",-0.186766917815773,0.142014454253011,1.31512611725445,0.1884675
"psi(HRB_1km)",-0.176629109518172,0.177559411153064,0.994760617706204,0.3198527
"psi(SHDI_1k)",0.113030837150044,0.153071039384078,0.738420785570237,0.4602588
"psi(RHU1KM)",0.110176136543637,0.186115338423169,0.59197773529622,0.5538655
"psi(RHU100)",-0.0859693009352969,0.0917450403826512,0.937045758296419,0.348735
"psi(SHR_100m)",-0.171474708493654,0.170618948611946,1.0050156204142,0.3148893
"p(Int)",-8.28591970977843,86.6344800094283,0.0956422859452344,0.9238047
"p(COUNT_TYPEtravelling)",0.528315625964995,0.0834139165013724,6.33366287214559,0
"p(DAY)",0.0037285602086419,0.00100683074178472,3.7032641673541,0.0002128
"p(EFFORT_HRS)",0.563393558310329,0.0896794178776829,6.28230614831557,0
"p(TIME)",-0.0554251282073443,0.00856881786687566,6.46823506677628,0
"p(NUMBER_OBSERVERS)",8.17794579714714,86.6343960836762,0.0943960616894984,0.9247945
"p(EFFORT_DISTANCE_KM)",0.00623757695135976,0.0367364582888803,0.169792550558631,0.8651733
"psi(FOR1_100m)",-0.105646637630982,0.169197559747578,0.624398116548455,0.5323662
"psi(WET_1km)",-0.00386691191467311,0.0269346811330567,0.143566277824886,0.885843
"psi(SHR_1km)",-0.0265111232013635,0.0966255737977896,0.274369632793528,0.7838006
"psi(RLU100)",0.0011402866908373,0.00972590100100898,0.117242267911117,0.9066681
