"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.565369526680609,0.215184597089603,2.62736986906729,0.0086048
"psi(CR_CL_MN)",0.858648800005853,0.156647327014328,5.48141367217403,0
"psi(FOR1_1km)",-0.802841728236273,0.229429334626055,3.49929850751133,0.0004665
"psi(SAV_1km)",0.66279447959609,0.199867632241904,3.31616716604666,0.0009126
"psi(BAR_1km)",-0.352474172489051,0.109354501512518,3.22322508551423,0.0012676
"psi(WET_1km)",0.262663788669733,0.0879217514490388,2.98747220500923,0.0028129
"psi(RUR_1km)",0.250042484330304,0.168253192077164,1.48610841341797,0.1372504
"psi(RLU1KM)",0.0337173987841219,0.0661887014761542,0.509413208480443,0.6104626
"p(Int)",-4.96814892888445,51.0043656554367,0.0974063467909219,0.9224037
"p(DAY)",-0.00698873626046434,0.0019151062913815,3.64926808079299,0.000263
"p(EFFORT_HRS)",1.33747155510887,0.156979927525209,8.52001638804478,0
"p(TIME)",-0.059302202921866,0.0160546940047693,3.69376102118479,0.000221
"p(EFFORT_DISTANCE_KM)",-0.0245536817732156,0.0627448724117496,0.391325710443515,0.6955565
"p(COUNT_TYPEtravelling)",-0.126545343775086,0.162880560872349,0.776921095417036,0.4372053
"p(NUMBER_OBSERVERS)",4.08144927431527,51.0038390956348,0.0800223933469468,0.9362194
"psi(PAR_1k)",-0.0621390997879515,0.12103812507714,0.51338452035959,0.6076824
"psi(SHR_1km)",-0.225379014391849,0.359481380168363,0.626956017266576,0.5306881
"psi(RLU100)",0.003707471148248,0.0170672783491504,0.2172268520149,0.8280316
"psi(FOR2_1km)",-0.0129860575011767,0.0639353162435835,0.203112430877824,0.8390472
"psi(RUR_100m)",0.00786850366652892,0.0404384062072468,0.194579965051116,0.8457218
"psi(FOR2_100m)",-0.00701399691633391,0.0457487363301167,0.153315642769274,0.8781494
