"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.54633576663134,0.325352903839084,7.82638094384653,0
"psi(CLT_1km)",0.729667265928441,0.131834339244075,5.53472843351953,0
"psi(RLU1KM)",-0.514112417328977,0.120070224084448,4.28176445283714,1.85e-05
"psi(FOR2_100m)",-1.7841840061307,0.653480144999857,2.73028036089924,0.006328
"psi(PAR_1k)",-0.592056152364615,0.151896247795007,3.89776680437576,9.71e-05
"psi(nr_urb)",-1.38251885643247,0.613744469137833,2.25259684763365,0.0242846
"psi(RHU100)",0.163166932640937,0.139041059417346,1.17351617806058,0.2405889
"psi(RHU1KM)",-0.189225188247427,0.19826788211511,0.95439153446733,0.3398855
"psi(SHR_100m)",-0.50364624230261,0.36481062966936,1.38056898933861,0.1674115
"psi(WET_100m)",-0.1686292073929,0.0932150452510753,1.8090342276689,0.0704457
"psi(SAV_100m)",-0.310011110607161,0.320859370316684,0.966189986289584,0.3339491
"p(Int)",-1.45481882968369,NA,NA,NA
"p(DAY)",0.0127876058192992,0.00238322204907248,5.36567955313941,1e-07
"p(EFFORT_DISTANCE_KM)",0.186945088133123,0.0774777860457453,2.4128862952117,0.0158268
"p(EFFORT_HRS)",0.673427472122758,0.203927665924722,3.30228598002659,0.000959
"p(TIME)",-0.0114295148192576,0.0198600948084597,0.575501523506776,0.5649522
"p(COUNT_TYPEtravelling)",0.130987130978323,0.192852890815533,0.679207505909851,0.4970064
"p(NUMBER_OBSERVERS)",-1.45737364174888,NA,NA,NA
"psi(FOR1_1km)",-0.0486280564653632,0.147717761546898,0.329195730805361,0.7420077
"psi(SHDI_1k)",0.166861849299502,0.168542056711135,0.990030930887996,0.322159
"psi(FOR2_1km)",-0.0710018809272721,0.172122245641109,0.41250845097221,0.6799668
"psi(HRB_100m)",-0.015377484017426,0.0709590778751013,0.216709186166324,0.828435
"psi(HRB_1km)",0.0214350287387164,0.0992441591903929,0.215982773329711,0.8290012
"psi(nr_fw)",0.0299054415976869,0.0754079082456219,0.396582298772664,0.6916755
"psi(SAV_1km)",-0.036526899946664,0.113920194313938,0.320635864138402,0.7484864
"psi(CR_CL_MN)",-0.0311340516013161,0.106607391166384,0.292044024909347,0.770253
"psi(WAT_1km)",0.00153812612648762,0.0153668535326124,0.100093758505821,0.9202699
