"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.270530246225002,0.350480985173561,0.771882805827634,0.4401838
"psi(CR_CL_MN)",-0.729831970890207,0.131678864962893,5.54251413919672,0
"psi(FOR1_1km)",-0.776178809957087,0.187909451095073,4.13060016637682,3.62e-05
"psi(CLT_100m)",1.51122154245939,0.637955453650986,2.36885120083345,0.0178434
"psi(WET_1km)",0.325966664869424,0.138948667293998,2.34595027946341,0.0189786
"psi(FOR2_1km)",-0.395644402746434,0.129087574627738,3.06493017540526,0.0021772
"psi(SHDI_100)",-0.268277520561048,0.112275151949717,2.38946477383703,0.0168729
"psi(nr_rd)",-0.646694779824814,0.335738883343572,1.9261837454884,0.0540814
"psi(SHR_1km)",-0.354729066352094,0.235089180648551,1.50891276822475,0.1313211
"psi(PAR_1k)",0.0794115714318799,0.113066637459011,0.702343089142175,0.4824652
"psi(RHU1KM)",-0.140641569957056,0.140324336210785,1.00226071795412,0.3162177
"psi(RLU1KM)",0.0804917158143298,0.073850450898394,1.08992856286109,0.2757446
"psi(RUR_100m)",0.0673591183420463,0.0928022771098018,0.725834757937548,0.4679401
"psi(WET_100m)",0.0334995032990068,0.0735892589347791,0.455222729293916,0.648949
"p(Int)",-8.25332813428449,84.5991286129715,0.0975580750014843,0.9222832
"p(COUNT_TYPEtravelling)",0.444340484260681,0.0896715582668876,4.95519976287465,7e-07
"p(DAY)",0.0070119814627681,0.00112386626807633,6.23915999789742,0
"p(EFFORT_DISTANCE_KM)",0.144055508968426,0.0380200366797636,3.78893661207592,0.0001513
"p(EFFORT_HRS)",0.417844529961137,0.0933859309765835,4.47438415606642,7.7e-06
"p(TIME)",-0.0451827174950295,0.00926785587162623,4.87520718069835,1.1e-06
"p(NUMBER_OBSERVERS)",7.23175807572605,84.5990012689214,0.0854827830973785,0.9318776
"psi(HRB_1km)",0.0785136847208667,0.177343332739795,0.442721378401438,0.6579673
"psi(CLT_1km)",0.0197511149034455,0.0944800801954033,0.209050573015988,0.8344088
"psi(SAV_100m)",-0.0436038761001442,0.069659698924514,0.625955563594885,0.5313441
"psi(WAT_1km)",-0.0111170047184743,0.0441554751921222,0.251769563572893,0.8012192
"psi(RUR_1km)",-0.00613007021616373,0.0392723845954702,0.156091112859767,0.8759612
"psi(HRB_100m)",-0.0280943570681417,0.081413350307242,0.345082925123677,0.730032
"psi(WAT_100m)",-0.0365877700716382,0.0744819556371265,0.491229986627802,0.6232638
"psi(FOR1_100m)",-0.0225075248894295,0.0908446799374004,0.247758315676152,0.8043214
