"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.52573219281423,0.267035193418581,5.71359966932384,0
"psi(RLU1KM)",0.297066204712772,0.145223022408554,2.04558615972776,0.0407971
"psi(WAT_1km)",-0.146751533090936,0.0763294314923978,1.92260744278636,0.0545294
"psi(WET_100m)",0.69811396940504,0.245787835247058,2.8403113144445,0.004507
"psi(RUR_100m)",0.32344666945811,0.181231556515408,1.78471495625328,0.0743076
"psi(SHDI_1k)",-0.36300662111191,0.177646111472029,2.04342565172932,0.0410103
"psi(RHU100)",-0.190026950980581,0.109362798206668,1.73758310958245,0.0822843
"psi(CR_CL_MN)",0.333888312496981,0.341728448594945,0.977057408798713,0.3285407
"psi(RUR_1km)",0.36370005925433,0.245627163639488,1.48069966637786,0.1386866
"psi(SHDI_100)",-0.236311404336879,0.183588530687186,1.28717956101259,0.1980317
"psi(SAV_100m)",0.230548046379104,0.231035758415034,0.997889019261448,0.3183332
"psi(FOR1_100m)",-0.178079577490146,0.304783349814636,0.584282499678708,0.5590303
"p(Int)",-5.83045261067355,56.881017659805,0.102502607206229,0.9183577
"p(COUNT_TYPEtravelling)",0.391886597403898,0.0932648117383326,4.20186981670418,2.65e-05
"p(DAY)",-0.00932343750314089,0.00110863949948192,8.40980093844554,0
"p(EFFORT_HRS)",1.34000421082969,0.095011700858196,14.1035703889737,0
"p(TIME)",-0.0719597491060123,0.00955979024480139,7.52733556524883,0
"p(EFFORT_DISTANCE_KM)",-0.0573946312905449,0.0375509358176703,1.52844742856014,0.1264015
"p(NUMBER_OBSERVERS)",5.99504202955238,56.8808286168484,0.105396531227335,0.9160612
"psi(SHR_1km)",0.207202846249242,0.337262706946882,0.614366314393237,0.5389733
"psi(FOR2_100m)",0.0330757745182709,0.112700963600364,0.293482623942393,0.7691533
"psi(RHU1KM)",0.0222144438530043,0.0882331892267787,0.251769703075204,0.8012191
"psi(WAT_100m)",-0.00579626462296446,0.0321840061161294,0.180097673423558,0.8570759
"psi(SAV_1km)",0.00210351883366829,0.0299289481427207,0.0702837541646083,0.9439678
"psi(CLT_1km)",-0.000910961293637475,0.0161949996509964,0.0562495408007885,0.955143
"psi(FOR2_1km)",-0.0014087738361584,0.0230708019303864,0.061063063191701,0.951309
