"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.124427179945959,0.2308006387752,0.539111072682736,0.5898102
"psi(PAR_1k)",-0.356186038058687,0.132519921239748,2.68779240680573,0.0071926
"psi(RHU100)",-0.205242018439963,0.116791708713096,1.75733380992095,0.0788609
"psi(WAT_1km)",-0.207200853387115,0.0981427374305964,2.11121942195307,0.0347535
"psi(WET_100m)",0.252579428305194,0.118214656486881,2.13661686132145,0.0326292
"psi(CLT_100m)",0.240280037869875,0.216161489194456,1.1115765290353,0.2663203
"psi(SAV_100m)",0.29317845608425,0.241763426439267,1.21266669819431,0.2252573
"psi(RUR_100m)",0.124048301391462,0.138233549589123,0.897382015872232,0.3695151
"psi(SHDI_100)",-0.285049032594246,0.159499466995271,1.78714724233341,0.0739137
"psi(RHU1KM)",-0.186690817413437,0.154559448277447,1.20789003515535,0.2270896
"psi(WET_1km)",-0.0433296980532273,0.091632298967224,0.472864901804176,0.6363096
"p(Int)",-0.543237201920165,114.866369356857,0.00472929722565254,0.9962266
"p(DAY)",-0.0454586431775827,0.00328936708744945,13.8198753647867,0
"p(EFFORT_HRS)",1.35275554560035,0.183743395812108,7.36219954802428,0
"p(TIME)",-0.0926460110151681,0.0203459091647372,4.55354490502391,5.3e-06
"p(COUNT_TYPEtravelling)",-0.14272362437388,0.192218226558086,0.742508277854447,0.4577794
"p(EFFORT_DISTANCE_KM)",-0.030279213015778,0.0701399378340769,0.431697174973359,0.6659615
"p(NUMBER_OBSERVERS)",3.31762655689828,114.865603270902,0.0288826808237268,0.9769582
"psi(RUR_1km)",0.111254543330091,0.168804356010969,0.659073888607835,0.5098483
"psi(SHDI_1k)",0.0217499850620463,0.077978666580129,0.278922249070476,0.7803045
"psi(RLU1KM)",0.015842383162404,0.0509984856238922,0.310644188128246,0.7560711
"psi(FOR1_100m)",-0.00618434955461529,0.0529245959297637,0.116852088258218,0.9069773
