"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.685590522390727,0.187630132580982,3.65394679926916,0.0002582
"psi(WET_1km)",0.875360051195935,0.224147381228296,3.90528787978287,9.41e-05
"psi(BAR_1km)",0.584878281133347,0.147669590215996,3.96072258531934,7.47e-05
"psi(FOR1_1km)",-0.711217547003599,0.210990768333917,3.37084675609132,0.0007494
"psi(nr_urb)",0.970650442423489,0.313371113253988,3.09744708867525,0.001952
"psi(FOR2_1km)",-0.407924845604969,0.139871880204888,2.91641783185747,0.0035408
"psi(nr_fw)",-0.311081699250577,0.0926544427015715,3.35743964542027,0.0007867
"psi(WAT_100m)",0.163907686915466,0.088202893798154,1.85830282723554,0.063126
"psi(WET_100m)",0.307090277975603,0.112805346973929,2.72230249907014,0.0064829
"psi(RHU1KM)",-0.282558237897255,0.121849020400898,2.31892088231489,0.0203993
"psi(SHR_1km)",-0.302370929315083,0.32269842583923,0.93700776050803,0.3487546
"psi(CR_CL_MN)",-0.287349339928873,0.148761993269974,1.9316045289027,0.0534083
"psi(RLU100)",0.0280326849109986,0.0318713122354366,0.879558541672785,0.3790985
"psi(CLT_1km)",-0.175138778457455,0.16210446192391,1.08040689552187,0.279961
"psi(RUR_1km)",-0.0404039856587895,0.0869714732096584,0.464565956717662,0.6422423
"p(Int)",-10.6594848243961,181.867277527656,0.0586113399249359,0.9532617
"p(COUNT_TYPEtravelling)",0.302149182313979,0.120029533741957,2.51729031092921,0.0118261
"p(EFFORT_HRS)",1.07495723947026,0.115919982723655,9.27326949343049,0
"p(DAY)",0.00184567425309167,0.00135785523005621,1.35925701962739,0.1740652
"p(EFFORT_DISTANCE_KM)",0.0288623873282378,0.0417011652691501,0.692124240220925,0.4888593
"p(NUMBER_OBSERVERS)",8.90017212477191,181.867222750259,0.0489377469462634,0.9609689
"p(TIME)",0.00146892668077827,0.0115159080900108,0.127556304661068,0.8985001
"psi(SHDI_1k)",-0.0716756750532981,0.130056132035581,0.551113384132393,0.581556
"psi(HRB_1km)",-0.141568073428992,0.239954050199615,0.589979928703946,0.5552041
"psi(RLU1KM)",0.0081668333136818,0.0290065292515609,0.281551551474995,0.7782874
"psi(BAR_100m)",0.0232892616919287,0.0695322232720949,0.334941996616341,0.7376688
"psi(WAT_1km)",0.00264256229003726,0.0214621812461289,0.123126454843163,0.902007
"psi(RHU100)",-0.00146275416523116,0.0156470466058869,0.0934843617504679,0.9255188
