"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.919499793717836,0.415596812104055,2.21248038227881,0.0269335
"psi(CR_CL_MN)",1.1258505985899,0.242433238258957,4.64396139190829,3.4e-06
"psi(RLU100)",0.109739641993592,0.0552022623357694,1.98795551758544,0.0468166
"psi(CLT_1km)",-0.482266895762077,0.221072041572317,2.18149202555004,0.029147
"psi(FOR1_1km)",0.562410878961426,0.39661450436737,1.41802902508196,0.1561823
"psi(RUR_100m)",0.324350723967494,0.155385571699348,2.08739280243517,0.0368526
"psi(SHDI_100)",-0.301266156821415,0.178198371243554,1.69062239300524,0.0909089
"psi(HRB_100m)",0.33282427072938,0.170976141830955,1.94661235869064,0.0515812
"psi(CLT_100m)",0.388768352640088,0.264972620563881,1.46720197661464,0.1423211
"psi(SAV_100m)",0.444181151843258,0.464790937641918,0.955657943971062,0.3392451
"psi(WAT_100m)",0.0861590398920852,0.0962709571740436,0.894963989361012,0.3708063
"psi(PAR_100)",0.127860871618828,0.165821222285344,0.771076644211474,0.4406615
"psi(RHU1KM)",0.0510313831763122,0.101926474871314,0.500668577430363,0.6166044
"p(Int)",-5.1624938802551,56.6743690062623,0.0910904518351966,0.9274207
"p(COUNT_TYPEtravelling)",1.20917646649123,0.164627108776236,7.3449413980462,0
"p(DAY)",-0.0173547715488243,0.00179776867741815,9.653506464329,0
"p(EFFORT_HRS)",0.660451496994714,0.141705299925354,4.66073955838361,3.2e-06
"p(TIME)",-0.027007033716688,0.0145405728520436,1.8573569275087,0.0632604
"p(EFFORT_DISTANCE_KM)",0.0382914645069999,0.0542557772739389,0.705758288443003,0.4803385
"p(NUMBER_OBSERVERS)",4.47535230668106,56.6740955563928,0.0789664530636915,0.9370593
"psi(RLU1KM)",0.0260137065880294,0.0745194426619137,0.349086166761212,0.7270246
"psi(FOR2_1km)",0.11499364177645,0.336852233469261,0.341377109458719,0.7328197
"psi(WET_1km)",-0.00772439090171041,0.0364499658384195,0.211917644476051,0.8321713
"psi(SHR_1km)",-0.0312321716615674,0.146618734288318,0.213016241158861,0.8313143
"psi(BAR_100m)",-0.00435606571319478,0.0294222536003111,0.148053435075711,0.8823006
"psi(RUR_1km)",0.00702983457931387,0.0526745860190911,0.1334578040493,0.8938313
"psi(SHDI_1k)",-0.0101006953204383,0.0608690981120818,0.165941267962264,0.8682032
