"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.22620395303616,0.158848893664718,1.42401969455077,0.1544408
"psi(CLT_100m)",0.342752378197368,0.169723676718071,2.019472974102,0.0434381
"psi(SHDI_100)",-0.250994755068092,0.124183660547849,2.02115764635059,0.0432634
"psi(WAT_100m)",-0.320068995855379,0.0933309857174508,3.4293969295937,0.0006049
"psi(CR_CL_MN)",-0.417910862693917,0.149202080596918,2.8009720844506,0.0050949
"psi(PAR_1k)",-0.258772524604991,0.100131141450445,2.58433611019062,0.0097567
"psi(WET_1km)",0.227807973466634,0.0926401079668968,2.45906420519325,0.01393
"psi(nr_fw)",0.196093397132521,0.119295009701199,1.64376865070618,0.100224
"psi(RUR_1km)",0.140847876384126,0.139255863728765,1.01143228452097,0.3118096
"psi(RHU100)",-0.116755749030505,0.102462501177515,1.13949735453194,0.2544958
"psi(HRB_100m)",0.155942742828683,0.216036056327644,0.721836648379553,0.4703949
"psi(BAR_100m)",-0.0446506361987559,0.0739187047904889,0.604050575903774,0.54581
"p(Int)",-4.85653346539687,115.306172049345,0.0421185906971096,0.9664042
"p(DAY)",-0.0281968069748944,0.00203784542736883,13.8365778857432,0
"p(EFFORT_HRS)",1.03663366625285,0.144629494025413,7.16751222313411,0
"p(TIME)",-0.0484379071664101,0.0152472145173297,3.17683647143264,0.0014889
"p(COUNT_TYPEtravelling)",0.205898574890241,0.142136642818964,1.44859601863884,0.1474504
"p(EFFORT_DISTANCE_KM)",-0.0615640592470222,0.0561217896738578,1.09697248795506,0.2726534
"p(NUMBER_OBSERVERS)",6.20249737225604,115.306012088869,0.0537916216153207,0.9571012
"psi(RLU1KM)",0.0106638669970954,0.0357154008530147,0.298578953123952,0.7652613
"psi(BAR_1km)",-0.0388264469393905,0.0738121636905474,0.526016919137715,0.5988765
"psi(SHR_100m)",-0.0520305899581319,0.133161786206671,0.390732142007911,0.6959952
"psi(RHU1KM)",-0.00445834030425318,0.0302213608383102,0.147522817655569,0.8827194
"psi(RUR_100m)",0.000761010321286687,0.0122334578771732,0.0622072948570562,0.9503978
