"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-9.12402063776896,1.4091744415316,6.47472759146286,0
"psi(WET_1km)",0.293737202572778,0.0998575989427054,2.94156083946414,0.0032656
"psi(FOR1_1km)",-3.77481122963599,1.36492845364223,2.76557442960701,0.0056823
"psi(nr_fw)",-0.944046625426615,0.518378685228015,1.82115247468434,0.0685837
"psi(RLU1KM)",-0.374608613115017,0.184666528240587,2.02856801762672,0.0425023
"psi(BAR_1km)",-0.783643485791177,0.275645453824428,2.84293999744439,0.0044699
"psi(SAV_1km)",-3.84215418401626,1.6888833974528,2.2749671112944,0.0229079
"psi(SHDI_1k)",0.879569852689512,0.324169061048964,2.71330598251219,0.0066616
"psi(RUR_1km)",-0.415994526270779,0.400740507308896,1.03806457965609,0.29924
"p(Int)",-2.34854837506511,0.847158510124552,2.77226557603703,0.0055668
"p(EFFORT_DISTANCE_KM)",0.317544913354759,0.158445065488449,2.00413255140413,0.0450559
"p(DAY)",0.0126307197984807,0.00492916378981311,2.56244676319828,0.0103938
"p(COUNT_TYPEtravelling)",-0.013176503248,0.443740878988615,0.0296941387911617,0.976311
"p(TIME)",0.00185109515102175,0.0430466165470412,0.0430021056126184,0.9656999
"p(EFFORT_HRS)",-0.0529754429096737,0.452820676903484,0.11698989381831,0.9068681
"psi(SHR_100m)",0.310619335955355,0.405980223252976,0.765109525450456,0.4442063
"psi(RUR_100m)",-0.148791344023693,0.281311543435591,0.528920150970486,0.5968608
