"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.685513931646263,0.313930896367009,2.18364595386892,0.0289883
"psi(CR_CL_MN)",1.16110262597516,0.232089090582305,5.00283155516696,6e-07
"psi(FOR1_1km)",0.704444250072053,0.299689065639023,2.35058375776899,0.018744
"psi(nr_rd)",0.665504446416767,0.387028599706665,1.71952265781176,0.0855192
"psi(SHDI_1k)",0.35346835547926,0.23827789259768,1.48342908200919,0.1379604
"psi(BAR_1km)",-0.163338094707684,0.175329187531111,0.93160811960473,0.3515391
"psi(RLU100)",0.0503537555705651,0.0518613157889388,0.97093093001132,0.3315827
"psi(FOR2_100m)",-0.10307474259055,0.152973277701712,0.673808812487757,0.5004329
"psi(FOR1_100m)",-0.230780957054393,0.284428974523578,0.81138343040105,0.4171455
"psi(PAR_100)",0.110710705873208,0.158285992384467,0.699434638564215,0.4842804
"p(Int)",-2.39967131005088,13.329984125759,0.180020567722488,0.8571364
"p(EFFORT_HRS)",1.534259610258,0.24371612978299,6.29527315908118,0
"p(COUNT_TYPEtravelling)",-0.597727074535061,0.26258263607412,2.27633892123141,0.0228257
"p(TIME)",-0.0239397983709282,0.0246865843756748,0.969749318359226,0.3321715
"p(EFFORT_DISTANCE_KM)",-0.107740890073824,0.109055293727911,0.987947364963627,0.3231784
"p(DAY)",-0.00181522840871316,0.00292456579148927,0.620683047717929,0.5348082
"p(NUMBER_OBSERVERS)",0.50444281700775,13.323560005732,0.037860963345437,0.9697985
"psi(FOR2_1km)",-0.0135356974953863,0.0657728257155015,0.205794678092965,0.8369513
"psi(SHR_1km)",0.0401502006188407,0.160700830565,0.249844387721448,0.8027077
"psi(BAR_100m)",-0.005713619296338,0.0424317328968277,0.134654394394653,0.8928851
"psi(HRB_100m)",0.00498257690899323,0.0413392129708427,0.120529070364923,0.9040641
"psi(nr_fw)",-0.00218121074608889,0.0279458783433289,0.0780512503236304,0.9377873
