"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.889272229099929,0.160729904999202,5.53271171972848,0
"psi(RHU1KM)",0.786098206202318,0.120821236802003,6.50629166700674,0
"psi(CR_CL_MN)",-0.447319635403081,0.135869707723607,3.29226906348428,0.0009938
"psi(SHR_1km)",-0.646698049025158,0.213153830168639,3.03394993424944,0.0024137
"psi(RUR_1km)",-0.373815798752735,0.0986213332607495,3.79041518090601,0.0001504
"psi(RUR_100m)",0.36929929181017,0.0972721466836803,3.79655743602633,0.0001467
"psi(RHU100)",-0.245017893544431,0.0950678925390551,2.57729383707307,0.0099577
"psi(PAR_1k)",-0.176875205901038,0.0953852849704155,1.85432381898211,0.0636928
"psi(CLT_100m)",0.0615716357560948,0.104069684323778,0.591638536776334,0.5540927
"psi(WET_100m)",0.0268927672976982,0.053521370482536,0.502467837711167,0.6153385
"psi(HRB_1km)",0.171086363406456,0.175603231821587,0.974277988119713,0.3299185
"psi(SHDI_100)",-0.105119319921025,0.11234082886858,0.935717859479187,0.3494185
"psi(nr_rd)",-0.227664673194265,0.306990255635146,0.741602278949341,0.4583283
"p(Int)",-9.37497360962919,186.480313725859,0.0502732616774292,0.9599046
"p(EFFORT_HRS)",0.601069421320334,0.105884484970774,5.67665245277665,0
"p(TIME)",-0.0486580758296671,0.0104840529243145,4.64115129720683,3.5e-06
"p(DAY)",0.00464615648664557,0.00126525732073516,3.67210401434073,0.0002406
"p(EFFORT_DISTANCE_KM)",0.037061417409702,0.0439862110276065,0.842568990232908,0.3994695
"p(COUNT_TYPEtravelling)",0.0777949858755183,0.101899088527926,0.763451243768469,0.4451943
"p(NUMBER_OBSERVERS)",8.60019396327011,186.480243501597,0.0461185260260369,0.9632158
"psi(FOR1_100m)",-0.0820501455582719,0.155152713935256,0.528834742732962,0.5969201
"psi(FOR2_1km)",-0.0317325967906484,0.077617238390702,0.408834396180343,0.6826612
"psi(BAR_1km)",-0.0187820489187907,0.0446893479367112,0.420280218574451,0.6742808
"psi(RLU100)",-0.00654549205055122,0.0186028597395854,0.351854077393432,0.7249477
"psi(FOR1_1km)",-0.0497047908927397,0.120452202288423,0.412651574221297,0.6798619
"psi(WAT_1km)",-0.00454881269753,0.0233878575407039,0.194494629942624,0.8457886
"psi(SHDI_1k)",-0.000952383700490988,0.015188460901186,0.0627044245422272,0.9500019
"psi(CLT_1km)",0.000784339632149307,0.0125287126676294,0.062603369791999,0.9500823
