"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.36477368315997,0.184056411470111,7.41497496479004,0
"psi(nr_fw)",-0.555074517225499,0.156064275439901,3.556704541516,0.0003755
"psi(WET_100m)",0.206762096961572,0.0749034064685088,2.76038309483961,0.0057734
"psi(RHU100)",-0.315219339544019,0.108820297490462,2.89669617537708,0.0037711
"psi(SHR_100m)",-0.520293848609157,0.286207698398022,1.81788907678366,0.0690811
"psi(SHDI_100)",0.170150642421553,0.145886150014046,1.16632485266882,0.2434831
"psi(SAV_100m)",-0.141180583590517,0.177222926923033,0.796627084552278,0.4256676
"psi(CLT_1km)",-0.195920109009087,0.168133968559491,1.16526190803475,0.243913
"psi(FOR2_100m)",-0.102620495493681,0.161346328498163,0.636026220422173,0.5247593
"psi(RUR_1km)",-0.109566710753044,0.142447177358234,0.769174319807685,0.4417898
"psi(SHDI_1k)",0.0952571290055388,0.124514813084023,0.765026478747222,0.4442558
"psi(WAT_1km)",-0.0496264009434634,0.0852923232418189,0.581839010326447,0.5606751
"psi(WAT_100m)",0.0462035072721388,0.0817768045950457,0.564995263643964,0.572077
"p(Int)",-1.05160832631415,107.380713710749,0.0097932700386669,0.9921862
"p(COUNT_TYPEtravelling)",0.521367473934625,0.203664460454337,2.55993349439344,0.0104692
"p(DAY)",-0.0231933517932879,0.00254553799448784,9.11137521557769,0
"p(EFFORT_HRS)",0.307309944614665,0.194299268301026,1.58163202209569,0.1137336
"p(TIME)",-0.0344626749986877,0.0203032774176998,1.69739467622327,0.0896221
"p(EFFORT_DISTANCE_KM)",0.0442281749312005,0.0662539475625127,0.667555316450689,0.5044175
"p(NUMBER_OBSERVERS)",1.92679926854198,107.38025399563,0.0179437019083638,0.9856838
"psi(CR_CL_MN)",-0.088434253615704,0.151882779051203,0.58225332831111,0.5603961
"psi(FOR1_1km)",0.0172348657599292,0.0784146092022163,0.219791515066838,0.8260335
"psi(CLT_100m)",-0.012061397349223,0.0561273697521757,0.214893329270172,0.8298505
"psi(BAR_1km)",-0.00273804849711768,0.0217652361742175,0.125799163179359,0.8998909
"psi(BAR_100m)",-0.00261430730896232,0.0212020858964542,0.123304250427526,0.9018662
"psi(HRB_100m)",0.0026352462128638,0.0293854034497064,0.0896787487493264,0.9285425
