"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.00930482446617,0.221091829359356,9.08810076920709,0
"psi(FOR1_1km)",-0.642518919908,0.203967818819714,3.15009947954544,0.0016321
"psi(SHDI_100)",-0.292633687354094,0.0978999389605688,2.98911000824994,0.0027979
"psi(nr_rd)",-1.05893324926086,0.329557867372036,3.21319365762687,0.0013127
"psi(WET_1km)",-0.253534235272394,0.0911386387506924,2.78185233779858,0.005405
"psi(CR_CL_MN)",-0.487392500319063,0.11686666645214,4.17050058083639,3.04e-05
"psi(SHR_1km)",-0.311687751787578,0.317720305136718,0.981013006560773,0.3265863
"psi(WET_100m)",0.175001833251907,0.0726361110298295,2.40929519450785,0.0159834
"psi(HRB_100m)",-0.288197622485976,0.151696549443797,1.8998297821715,0.0574555
"psi(nr_fw)",0.178559911157227,0.0921320779801578,1.93808622438412,0.0526127
"psi(PAR_1k)",-0.158614532656183,0.0923253669523988,1.71799515010822,0.0857975
"psi(RHU1KM)",0.163549562387463,0.112161517491353,1.45816110592541,0.1447961
"psi(RLU1KM)",-0.0831428893603426,0.0657314881165377,1.26488676496926,0.2059119
"psi(WAT_1km)",0.0560310069787735,0.0729309498235443,0.768274746377772,0.442324
"p(Int)",-10.1772788548187,220.649336399449,0.0461242214497054,0.9632112
"p(DAY)",0.00628168571400175,0.00154598831277629,4.06321681871002,4.84e-05
"p(TIME)",-0.057268853393215,0.0130859902433535,4.37634847101483,1.21e-05
"p(EFFORT_HRS)",0.374731216737723,0.132112690335294,2.83645133398372,0.0045618
"p(EFFORT_DISTANCE_KM)",0.103267441955692,0.0496147316496294,2.08138668742479,0.0373985
"p(NUMBER_OBSERVERS)",9.24619308985807,220.649243499078,0.0419044857948798,0.9665748
"p(COUNT_TYPEtravelling)",0.005315878756802,0.129118523475421,0.0411705355181971,0.9671599
"psi(HRB_1km)",-0.152044374222562,0.240889790977721,0.631178156639373,0.527924
"psi(RUR_1km)",-0.0195099612937537,0.0575021630175442,0.339290911331476,0.7343906
"psi(BAR_1km)",0.008471591804018,0.0327670777993756,0.258539740891372,0.7959904
