"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.16013909042894,0.512065652482464,2.26560614797078,0.0234755
"psi(RHU1KM)",-1.23699459533106,0.283575852681088,4.36212951009687,1.29e-05
"psi(nr_urb)",2.30138117063556,1.57415545477677,1.46197833489191,0.1437471
"psi(FOR2_100m)",-1.30800748388992,0.539506495371191,2.42445178160456,0.0153315
"psi(SAV_100m)",0.301692525621698,0.168847084197098,1.78677960034849,0.0739731
"psi(WAT_100m)",-0.424963241805823,0.301474861209409,1.40961418839708,0.1586536
"psi(BAR_100m)",-0.245060845804855,0.215935124454318,1.13488181426778,0.2564248
"psi(SHDI_100)",0.292264138991276,0.270857735395797,1.07903190789142,0.2805735
"psi(RLU1KM)",0.158754521772989,0.163230822846878,0.97257686388013,0.3307636
"p(Int)",-14.0477568336257,665.322906563494,0.0211141938674331,0.9831546
"p(COUNT_TYPEtravelling)",0.831316728490009,0.393780401241407,2.11111758195495,0.0347622
"p(DAY)",0.0403818647284218,0.00509621801664516,7.92388877330745,0
"p(TIME)",-0.161637948784949,0.0376432849976062,4.29393844865632,1.76e-05
"p(EFFORT_HRS)",0.463400350002511,0.351455184870806,1.31851903158821,0.18733
"p(EFFORT_DISTANCE_KM)",0.0349928325747643,0.1332897642041,0.262532031500794,0.7929113
"p(NUMBER_OBSERVERS)",7.71410828365265,665.322817819267,0.0115945343779689,0.9907491
"psi(RLU100)",0.0325595101559779,0.0616910326139805,0.527783516928831,0.5976496
"psi(HRB_1km)",0.215534371902332,0.315668766666743,0.682786498576448,0.4947418
"psi(WAT_1km)",0.0269811574306201,0.0889685409941923,0.303266268381106,0.761687
"psi(nr_fw)",-0.0377713789413245,0.133806917477374,0.282282707452037,0.7777267
"psi(SHR_1km)",0.0337740809354707,0.131469128042608,0.256897428607914,0.797258
"psi(SHR_100m)",0.0422282263558741,0.158193433725826,0.266940449810718,0.789515
