"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.717332943949356,0.443913677221536,1.61592890860934,0.1061097
"psi(CR_CL_MN)",0.886006564760359,0.277501669587169,3.19279724002542,0.001409
"psi(HRB_100m)",0.737433997908288,0.23005302022065,3.20549583396468,0.0013483
"psi(PAR_100)",0.62096456007773,0.207321119362191,2.9951823624534,0.0027428
"psi(RUR_100m)",0.302612539569033,0.198528429411595,1.52427811203628,0.1274393
"psi(FOR1_100m)",0.447038645954364,0.468462550476965,0.954267626087106,0.3399482
"psi(WAT_100m)",-0.220243728284021,0.288469387425473,0.763490816996731,0.4451707
"psi(SHR_1km)",0.106663609950199,0.237207981464127,0.449662820331068,0.6529536
"p(Int)",-5.2084115839534,100.633495548704,0.0517562423480823,0.9587229
"p(COUNT_TYPEtravelling)",0.866590716126838,0.322377898473264,2.68812074348424,0.0071855
"p(TIME)",-0.0775320591253644,0.0308409538170577,2.51393194857944,0.0119393
"p(EFFORT_HRS)",0.0328956924860999,0.301916042682892,0.108956424421112,0.9132371
"p(EFFORT_DISTANCE_KM)",0.088202294010186,0.118065431064613,0.747062821139546,0.4550256
"p(DAY)",-0.00522413035796287,0.00338651084412441,1.54262915384627,0.1229208
"p(NUMBER_OBSERVERS)",3.67559243174975,100.632296056146,0.0365249783200717,0.9708638
"psi(WAT_1km)",-0.0668865612191925,0.140444987177166,0.476247408779479,0.6338981
"psi(CLT_1km)",-0.0551005471132121,0.201967718435528,0.272818584772008,0.7849927
"psi(CLT_100m)",0.0450920843514297,0.173100780727865,0.260496135036617,0.7944811
"psi(FOR1_1km)",0.191609997850592,0.32631683167761,0.587190053499588,0.5570761
"psi(WET_100m)",-0.0412392615918574,0.105004203363385,0.392739150157084,0.6945122
"psi(nr_rd)",0.0893969793812937,0.407339256603766,0.219465661440663,0.8262873
