"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-7.09324595835747,0.996377915565763,7.11903169223677,0
"psi(CLT_1km)",0.905676013948813,0.2488087202711,3.64004932368124,0.0002726
"psi(FOR1_1km)",-4.2487283162779,1.05336508673808,4.03348124004642,5.5e-05
"psi(SHDI_1k)",1.46459127985134,0.309366670572191,4.73415987941589,2.2e-06
"psi(WAT_1km)",-0.632094625955508,0.305925984636978,2.06616847766486,0.0388126
"psi(RLU1KM)",0.278228110515025,0.124134029253441,2.24135244935113,0.0250033
"psi(BAR_1km)",-0.419894233909781,0.276955135288929,1.51610921917636,0.1294917
"psi(CR_CL_MN)",-0.429875073251054,0.388564597725265,1.10631559274218,0.2685899
"psi(WET_1km)",0.109689900642461,0.136860706470255,0.801471097668933,0.422859
"psi(SHDI_100)",0.102648221441243,0.203443447227228,0.504554080459488,0.6138721
"p(Int)",-14.9436308706527,2.28913401708602,6.52807164592109,0
"p(DAY)",0.104917457618966,0.0161806251694853,6.48414115771172,0
"p(EFFORT_DISTANCE_KM)",0.168615646792027,0.243342622056982,0.692914563699176,0.4883632
"p(COUNT_TYPEtravelling)",0.0709441206895752,0.655008207061145,0.108310277527488,0.9137496
"p(EFFORT_HRS)",-0.232153151524226,0.544952375898162,0.426006311361802,0.6701032
"p(TIME)",-0.0037436908441214,0.0577563502317332,0.0648186879728507,0.9483184
"psi(PAR_1k)",0.115849553715773,0.219763016474742,0.527156732621059,0.5980848
"psi(RUR_100m)",0.0338047911978452,0.114445672487466,0.295378501109751,0.7677048
"psi(RHU1KM)",-0.126641774492799,0.267828684727743,0.472846195027745,0.6363229
"psi(FOR2_1km)",-0.0358170729593265,0.199767748644241,0.179293570670968,0.8577072
"psi(CLT_100m)",0.00793193033980316,0.0582436401155829,0.13618534700205,0.8916748
"psi(RLU100)",0.00165731542727742,0.0150836905490359,0.109874663756169,0.9125088
