"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-6.5629629849637,1.07879250198492,6.08361939194813,0
"psi(FOR1_1km)",-2.65910801426905,0.662571601139849,4.01331419833642,5.99e-05
"psi(BAR_1km)",-2.69320359604568,0.909362280821962,2.96163987977522,0.0030601
"psi(nr_urb)",-3.30031083448207,2.79178976166824,1.18214877058291,0.2371467
"psi(FOR2_100m)",0.211554232699343,0.244903590547408,0.863826586725319,0.3876832
"psi(WAT_100m)",-0.292727116820203,0.230877009415977,1.26789201558302,0.2048365
"psi(RHU1KM)",0.178760541953758,0.128779445381465,1.38811392939488,0.1651024
"psi(RHU100)",-0.132326529178711,0.135665722497355,0.975386610138688,0.3293685
"psi(PAR_100)",0.0796121012719618,0.127204374254993,0.625859776742994,0.5314069
"p(Int)",0.000926863938199413,4554.08538513727,2.03523618864137e-07,0.9999998
"p(TIME)",-0.074118844430612,0.0279550044636907,2.65136228208732,0.0080168
"p(EFFORT_HRS)",0.766321432515695,0.327699607560597,2.33848748925947,0.019362
"p(EFFORT_DISTANCE_KM)",-0.137966358724966,0.157936604541697,0.873555304834614,0.3823605
"p(DAY)",-0.00211520093104414,0.00344570666691997,0.613865640784469,0.5393041
"p(COUNT_TYPEtravelling)",0.236101586309234,0.304602983691082,0.775112520068683,0.4382732
"p(NUMBER_OBSERVERS)",0.158638050880498,4554.08539031016,3.48342284529922e-05,0.9999722
"psi(SAV_1km)",0.109715000955375,0.213193689355192,0.514625931411053,0.6068144
"psi(SHDI_100)",0.0307859150286167,0.104442825064539,0.294763331129668,0.7681747
"psi(CR_CL_MN)",0.0452535407343926,0.134922780367781,0.335403262599818,0.7373209
"psi(WAT_1km)",-0.0498685770325597,0.129593668317597,0.38480720300583,0.7003803
