"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",2.54689486254136,2.06398472289095,1.23396982269036,0.2172141
"psi(FOR1_1km)",-3.00093830827782,1.38081982968657,2.17330186296571,0.0297576
"psi(nr_urb)",12.8169153300766,5.65227504974082,2.26756752233144,0.0233556
"psi(RUR_100m)",0.886964029196802,0.802763398571325,1.10488847744594,0.2692079
"psi(WAT_1km)",-0.483101872887424,0.467571777620662,1.03321435554941,0.3015036
"psi(nr_rd)",3.17551151107469,2.7909051317745,1.13780704149397,0.2552011
"psi(WET_100m)",-0.33418067907534,0.381011724098503,0.877087653578198,0.380439
"psi(SAV_100m)",-1.03729988419993,0.881379368742079,1.17690511145091,0.2392334
"psi(WAT_100m)",-0.331153242303628,0.355922356363036,0.930408659033084,0.3521595
"psi(RLU1KM)",-0.182070555140254,0.300815521434884,0.605256518253382,0.5450086
"p(Int)",-2.10219526768877,97.7753518600258,0.0215002577612633,0.9828466
"p(DAY)",-0.021190661621933,0.00492205287807751,4.30524867303127,1.67e-05
"p(EFFORT_HRS)",1.06545733444582,0.350317388264419,3.04140579411266,0.0023548
"p(TIME)",-0.10482375337003,0.0402810335642998,2.60231041993255,0.0092598
"p(COUNT_TYPEtravelling)",0.578444425252317,0.409603512257083,1.41220572564149,0.1578894
"p(EFFORT_DISTANCE_KM)",0.19243676365949,0.122961620709953,1.56501486031497,0.1175794
"p(NUMBER_OBSERVERS)",0.398067542149479,97.774130927932,0.00407129716594351,0.9967516
"psi(CLT_1km)",-0.373247125842158,0.696289378614585,0.536051729792018,0.5919228
"psi(RLU100)",-0.0548916563639851,0.106996115376672,0.513024759550784,0.607934
"psi(CLT_100m)",0.269128835985272,0.589714345676039,0.456371526245892,0.6481228
"psi(RUR_1km)",0.268329771772028,0.555429346402666,0.48310333890334,0.6290224
"psi(CR_CL_MN)",-0.137605070077913,0.35193802546622,0.390992334220279,0.6958029
"psi(RHU100)",-0.0581586129785964,0.177699155564999,0.327286940636717,0.7434509
"psi(SAV_1km)",-0.0193288219308141,0.140192187642646,0.137873745005563,0.8903402
"psi(FOR1_100m)",-0.043296139306569,0.318020488741873,0.136142609798047,0.8917085
"psi(RHU1KM)",-0.0103856447431041,0.0822332983000574,0.126294882460002,0.8994985
"psi(nr_fw)",0.0120422529699904,0.117679044457678,0.102331328619186,0.9184937
"psi(FOR2_100m)",0.0157996695211395,0.231599644707675,0.0682197485280334,0.9456107
"psi(SHDI_100)",-0.00305160463382909,0.0449846777984675,0.0678365341972738,0.9459158
"psi(PAR_100)",-0.00407110657999377,0.0624810404712662,0.0651574709589862,0.9480486
