"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.41510212653144,0.20050886118657,12.0448648116565,0
"psi(WET_1km)",0.613485807059682,0.119200693600758,5.14666306485133,3e-07
"psi(nr_fw)",-0.709555497937039,0.18314653874434,3.8742501103312,0.000107
"psi(FOR1_100m)",-0.636262465656705,0.24495114619428,2.59750760730085,0.0093903
"psi(WET_100m)",0.40782151014834,0.0785473892231147,5.19204411734067,2e-07
"psi(CLT_100m)",0.508806244917107,0.107439225798998,4.73575866852396,2.2e-06
"psi(WAT_100m)",0.227353807157557,0.0701024816788701,3.2431634617307,0.0011821
"psi(RUR_1km)",0.208710409736552,0.158905976951503,1.31342076453329,0.1890412
"p(Int)",-0.88990069913287,113.636383431588,0.00783112478820319,0.9937517
"p(COUNT_TYPEtravelling)",0.600366984202092,0.190573727293348,3.15031349141822,0.001631
"p(EFFORT_HRS)",0.788926189321221,0.178327975652365,4.42401808485264,9.7e-06
"p(DAY)",0.00383952956367111,0.00211810764007579,1.81271692289147,0.0698755
"p(EFFORT_DISTANCE_KM)",0.0127857779154599,0.0646776128916666,0.197684752788816,0.8432917
"p(TIME)",-0.00409709307299242,0.01796867200216,0.22801312598393,0.819636
"p(NUMBER_OBSERVERS)",-0.856562074461159,113.635748317601,0.00753778707090618,0.9939858
"psi(RUR_100m)",0.0167430847219643,0.058761021566471,0.284935221948522,0.7756938
"psi(RLU100)",-0.00402322035238309,0.0178644697679803,0.225207935339574,0.8218175
"psi(WAT_1km)",-0.00932903722332817,0.0414283509209947,0.225184855682983,0.8218355
