"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-3.29657514748581,0.275438875562898,11.9684454155166,0
"psi(HRB_1km)",-1.2782558278085,0.398523188275801,3.20748168591855,0.001339
"psi(PAR_1k)",-1.53079139231339,0.157457963491507,9.72190518897421,0
"psi(nr_fw)",0.402902431754848,0.0971714900454917,4.14630290804664,3.38e-05
"psi(RHU1KM)",-0.590614817491267,0.180096263444847,3.27943959632532,0.0010401
"psi(RUR_1km)",-0.558485489852323,0.147701167748309,3.78118533770845,0.0001561
"psi(SHR_100m)",-0.815595901483974,0.292015399943594,2.79298934796424,0.0052223
"psi(FOR1_1km)",0.487355952937718,0.257817833460183,1.8903112573591,0.0587163
"psi(FOR2_1km)",-0.511753184484443,0.158555680798033,3.22759286774664,0.0012484
"psi(SHR_1km)",-0.806378357714518,0.340960873231688,2.36501728210489,0.0180292
"psi(BAR_1km)",-0.25409354670288,0.0914902688741675,2.77727401864292,0.0054817
"psi(SHDI_1k)",0.466367196783661,0.174771275741718,2.66844305395398,0.0076204
"psi(CLT_1km)",-0.391045794104214,0.18365560519616,2.12923419182629,0.0332349
"psi(WET_1km)",-0.186440200474402,0.138843196034115,1.34281121293543,0.1793331
"psi(WAT_1km)",-0.166290024027014,0.123282913382708,1.34884891558977,0.1773855
"psi(SAV_1km)",-0.266341186910516,0.165384155981552,1.61043955710137,0.1073019
"psi(RLU1KM)",0.0535079813743709,0.0693162319519505,0.771940133899117,0.4401499
"psi(CR_CL_MN)",-0.241687478513715,0.172558930010579,1.4006083515869,0.1613312
"psi(SAV_100m)",0.0559267585492828,0.0890143974230649,0.62828890795582,0.5298147
"psi(WET_100m)",0.0462386227965742,0.0769693191449739,0.60074096159643,0.5480125
"p(Int)",-9.75897719981645,270.66451717231,0.0360556208171303,0.971238
"p(EFFORT_HRS)",0.339903335444154,0.200718864730906,1.69342994192322,0.0903737
"p(TIME)",-0.0472950860423009,0.0195698909011837,2.41672711826106,0.0156608
"p(COUNT_TYPEtravelling)",0.35223019491402,0.197482614282865,1.78360103340288,0.0744885
"p(DAY)",0.00334776454330445,0.00226829600661755,1.47589403390812,0.1399723
"p(EFFORT_DISTANCE_KM)",-0.0102824650679772,0.0766955346265448,0.13406862756803,0.8933483
"p(NUMBER_OBSERVERS)",9.59682614084254,270.664335021933,0.0354565596537308,0.9717157
