"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.80444912281278,0.515204634708449,5.44336936021508,1e-07
"psi(CLT_1km)",1.17195917086288,0.255654705907536,4.58414863400461,4.6e-06
"psi(WET_1km)",0.727422964145925,0.213065086196784,3.41408804760291,0.00064
"psi(RHU1KM)",-0.972424031013556,0.287823417592653,3.37854382783334,0.0007287
"psi(FOR1_1km)",-1.45073169453037,0.467101127736226,3.105819293482,0.0018975
"psi(HRB_1km)",1.24743130151435,0.410036975694655,3.04224100619472,0.0023482
"psi(FOR2_100m)",-0.397416062735169,0.654340514574257,0.607353593249145,0.5436163
"psi(RUR_1km)",-0.259699967393618,0.271519446906815,0.956469123490614,0.3388353
"psi(nr_rd)",-0.724850675760419,1.02618490008793,0.70635484472468,0.4799675
"psi(RHU100)",-0.174443408334739,0.279412890208237,0.624321262360988,0.5324166
"p(Int)",-0.553555191230227,86.730626247356,0.00638246505509467,0.9949076
"p(DAY)",-0.0196264655388542,0.00288800306998907,6.79586034474972,0
"p(EFFORT_HRS)",0.674939704354275,0.211189263680023,3.19589969960258,0.001394
"p(TIME)",0.0504094707992995,0.0241435860772402,2.08790320700617,0.0368066
"p(EFFORT_DISTANCE_KM)",0.0223299898477702,0.0722866571232232,0.308908873870118,0.7573908
"p(COUNT_TYPEtravelling)",0.14411384047608,0.240655523026255,0.598838699664323,0.5492805
"p(NUMBER_OBSERVERS)",-0.215400241955029,86.7300516763517,0.00248357100902964,0.9980184
"psi(BAR_100m)",-0.0354572670155062,0.105180035794538,0.337110239102501,0.7360338
"psi(BAR_1km)",0.0300131057456838,0.0928908595005333,0.323100743249248,0.7466189
"psi(CR_CL_MN)",-0.289776503233851,0.357717772285832,0.810070188523669,0.4178998
"psi(RLU100)",0.0390982287671001,0.0644111771478181,0.607010001965544,0.5438443
"psi(nr_urb)",-0.303319464904918,0.804264885661323,0.37713876399752,0.7060705
"psi(WET_100m)",0.0194542274505565,0.0777257648272559,0.250293162039553,0.8023606
"psi(PAR_1k)",0.0117958756090826,0.0698084877802322,0.168974804986721,0.8658165
"psi(FOR2_1km)",-0.0547083759586237,0.213431182012591,0.256327943474522,0.7976976
