"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.50429183350437,0.333698622628056,4.50793539888557,6.5e-06
"psi(WET_1km)",0.614783408323185,0.356377911679826,1.72508841927194,0.0845115
"psi(CR_CL_MN)",-0.812520098844068,0.214335328378173,3.79088274897201,0.0001501
"psi(RHU1KM)",-0.381446990987268,0.157605036275311,2.42027158523628,0.0155089
"psi(WAT_100m)",0.333994547178732,0.129662788968797,2.57587045470004,0.0099988
"psi(nr_urb)",-0.839615599001711,0.977351975888525,0.85907187964541,0.3903009
"psi(WET_100m)",0.14097662444669,0.168350616155712,0.837398921761575,0.4023684
"psi(CLT_1km)",0.187045816895433,0.241954263113623,0.773062704035081,0.4394853
"psi(FOR1_1km)",0.228919735460097,0.314932191168464,0.726885792813864,0.4672959
"psi(RUR_1km)",0.106584230741587,0.158006730822847,0.674555002730143,0.4999585
"p(Int)",-4.81969737248288,22.5935657299502,0.213321678839469,0.8310761
"p(DAY)",0.0287508150802556,0.00319400649643278,9.00148923064681,0
"p(EFFORT_HRS)",0.692943696319399,0.254483174588311,2.72294503336186,0.0064703
"p(COUNT_TYPEtravelling)",0.442149275501509,0.249839526323222,1.76973308430585,0.0767716
"p(TIME)",-0.0529371441694353,0.0254311930331421,2.08158319983051,0.0373806
"p(EFFORT_DISTANCE_KM)",-0.117241153173224,0.0983024613527989,1.19265735119751,0.2330036
"p(NUMBER_OBSERVERS)",-0.744858213385988,22.5925401640143,0.0329692105437709,0.9736991
"psi(SAV_100m)",-0.151859558178564,0.372170894183754,0.408037169353672,0.6832464
"psi(SHDI_100)",0.123465789352058,0.205322009841748,0.60132758999982,0.5476218
"psi(HRB_100m)",-0.133488980582968,0.228530247077639,0.584119530302776,0.5591399
"psi(RUR_100m)",0.0129347463259671,0.0607855853995307,0.212792987695187,0.8314884
"psi(RLU1KM)",-0.0091214912436434,0.0454185218088264,0.200831970754953,0.84083
