"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.15203600355225,0.370905000541309,3.10601367431265,0.0018963
"psi(FOR1_1km)",0.834263532347281,0.216759215431307,3.84880306328506,0.0001187
"psi(nr_urb)",1.67463238972539,0.978941987123406,1.710655393019,0.0871447
"psi(SAV_100m)",0.275270385425443,0.153347964402877,1.79507035843169,0.0726425
"psi(WAT_100m)",-0.178492570988177,0.103388013639502,1.72643389407358,0.0842694
"psi(PAR_1k)",-0.25017990072903,0.124623433916848,2.00748681741476,0.0446979
"psi(HRB_1km)",0.417161667306022,0.399395642796943,1.04448226922223,0.2962623
"psi(RLU1KM)",0.0795851610898948,0.0622647002814663,1.27817464358026,0.2011879
"psi(RHU100)",-0.0854907172110701,0.0992155316239924,0.861666674680164,0.388871
"p(Int)",-8.90279088771394,77.3077287567631,0.115160424848662,0.908318
"p(COUNT_TYPEtravelling)",1.12142086109363,0.16034885082762,6.9936320422975,0
"p(DAY)",0.0204892893418596,0.00192279385462544,10.6559989738738,0
"p(EFFORT_HRS)",0.888873085034473,0.152027496914447,5.84679155465332,0
"p(TIME)",-0.0975911426477984,0.0148817301900458,6.55778201872494,0
"p(EFFORT_DISTANCE_KM)",-0.0779067011079542,0.0579356718927497,1.34471041005919,0.1787188
"p(NUMBER_OBSERVERS)",5.12465085868161,77.3075018285275,0.0662891794129938,0.9471476
"psi(nr_rd)",0.0876383618652895,0.26392144150972,0.332062303706619,0.7398422
"psi(CLT_1km)",-0.0275036792295475,0.0933037731785027,0.29477563760395,0.7681653
"psi(CLT_100m)",0.0181201628044716,0.0776870390503096,0.23324563564248,0.8155707
"psi(RUR_100m)",0.0358538549745014,0.0774892537486248,0.46269454459855,0.6435833
"psi(HRB_100m)",0.0513443209111933,0.12133446593261,0.423163529971035,0.672176
"psi(SHR_1km)",0.0436186963162835,0.144584638219767,0.30168278493033,0.7628939
"psi(WAT_1km)",-0.00538727583579943,0.0277640113040563,0.194038094020382,0.8461461
"psi(SHR_100m)",0.00387298031089185,0.0392765865544793,0.0986078641411409,0.9214496
