"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.16043628162888,0.472005811960901,2.45852117118636,0.0139511
"psi(FOR1_1km)",1.49862349129924,0.425811534947297,3.5194525472043,0.0004324
"psi(SAV_100m)",0.343738486659508,0.227057780277432,1.51388111977272,0.130056
"psi(SHDI_100)",0.721613373441835,0.325402450993093,2.217602760027,0.0265819
"psi(WAT_1km)",0.300530082003178,0.305517534919684,0.983675395529041,0.3252751
"psi(SAV_1km)",0.424755598333159,0.375391487106229,1.1315003480965,0.2578446
"psi(SHDI_1k)",-0.232444084998152,0.437870533053525,0.53085117049824,0.5955219
"psi(SHR_1km)",0.340386921555552,0.703113310302978,0.484113892551509,0.628305
"psi(RUR_1km)",0.114622935822345,0.304795133444738,0.376065505137492,0.7068682
"psi(nr_fw)",0.061741503238015,0.16973911841511,0.363743513071757,0.7160495
"psi(HRB_100m)",-0.0692647141260088,0.20061704758546,0.345258366423237,0.7299001
"p(Int)",-9.33929820315374,139.052840752513,0.0671636634865724,0.9464514
"p(DAY)",0.0560189752981187,0.00736799452837508,7.60301532287823,0
"p(EFFORT_HRS)",1.33990419953759,0.440554665338483,3.04140281548972,0.0023548
"p(TIME)",-0.0968700421870682,0.0401933208253342,2.4101029772591,0.015948
"p(EFFORT_DISTANCE_KM)",0.264769418989065,0.162913878808514,1.62521094535027,0.1041176
"p(COUNT_TYPEtravelling)",-0.105465725736768,0.438006695020819,0.240785647652612,0.8097213
"p(NUMBER_OBSERVERS)",-0.752318227800883,139.05327069003,0.00541028789950514,0.9956832
"psi(CLT_1km)",-0.341289933770136,0.538003991400027,0.634363200321267,0.5258438
"psi(FOR2_1km)",-0.216228305322226,0.328942332845769,0.657344110901071,0.5109597
"psi(CLT_100m)",0.195972499374069,0.387909776709153,0.505201237866725,0.6134175
"psi(WET_1km)",-0.0545644661495652,0.170585291589286,0.31986618331045,0.7490698
"psi(RHU1KM)",0.0816146185226132,0.180143487164596,0.453053395419411,0.6505103
"psi(SHR_100m)",0.0529215868525161,0.171264693844816,0.309004650429987,0.757318
