"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.28592201781071,0.244894752939827,9.33430377894776,0
"psi(WAT_1km)",0.307682323478566,0.0718867416579325,4.2800983377804,1.87e-05
"psi(WET_1km)",0.233830781425536,0.0739820537457842,3.16064193390766,0.0015742
"psi(nr_fw)",-0.417777625450084,0.124550825234231,3.35427424639227,0.0007957
"psi(SAV_100m)",-0.718653740647288,0.355915895572131,2.01916730774854,0.0434698
"psi(FOR2_100m)",-0.329975499223338,0.218498040942686,1.51019889148523,0.1309927
"psi(CLT_100m)",-0.139578313234161,0.156711207011254,0.890672185455996,0.3731051
"psi(RUR_100m)",-0.157206269387944,0.126670602778718,1.24106356123188,0.2145823
"psi(FOR1_1km)",-0.124322823482194,0.192116659177208,0.647121514680924,0.5175533
"psi(SHDI_100)",0.0544003578545486,0.107984209472954,0.50378067423065,0.6144155
"psi(RHU100)",-0.0586840738788377,0.0901114846861872,0.65123856391008,0.5148925
"p(Int)",-5.00964913239565,56.2186943804466,0.0891100226998165,0.9289945
"p(COUNT_TYPEtravelling)",0.743485408724288,0.235451247983312,3.1577042597667,0.0015902
"p(DAY)",0.0302608997938996,0.00302557032647067,10.0017175370698,0
"p(EFFORT_HRS)",0.462674983389661,0.242235265912066,1.91002322328086,0.0561302
"p(TIME)",-0.0381825153269678,0.023046829628919,1.6567361299472,0.0975728
"p(EFFORT_DISTANCE_KM)",-0.116392541710633,0.0921669485681795,1.26284469127816,0.206645
"p(NUMBER_OBSERVERS)",0.355960459364957,56.2175239467832,0.00633184164606604,0.994948
"psi(nr_urb)",-0.566237188447021,0.874003731974764,0.647865870283687,0.5170717
"psi(nr_rd)",0.0716241139574044,0.21894398525989,0.327134421493176,0.7435662
"psi(CLT_1km)",-0.011142430238348,0.053689121538658,0.207536087740326,0.8355912
"psi(FOR1_100m)",-0.0636042687175384,0.156813143202004,0.405605470426702,0.6850325
"psi(WAT_100m)",0.00855644689297719,0.0367776811905017,0.232653245555541,0.8160307
"psi(CR_CL_MN)",0.0055001018766845,0.0442331393059635,0.12434346652721,0.9010433
