"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",3.91451644511826,0.706294334522472,5.54233023512057,0
"psi(FOR1_100m)",1.48790346429124,0.663129359541826,2.24376050144918,0.0248478
"psi(FOR1_1km)",1.53783594593895,0.307676002379229,4.99823169193246,6e-07
"psi(CR_CL_MN)",0.649747966200765,0.19267214679151,3.37229836808667,0.0007454
"psi(nr_urb)",3.31979272702123,1.27535235841566,2.60303962674701,0.0092401
"psi(SAV_100m)",1.05724953652371,0.42230625255267,2.50351381286227,0.0122967
"psi(FOR2_100m)",1.26325184082667,0.744198327889479,1.69746664764647,0.0896085
"psi(BAR_100m)",0.0820582617140314,0.0836964010137489,0.980427601666548,0.3268751
"psi(RUR_100m)",0.119116271905208,0.119250451913512,0.998874805033012,0.3178553
"psi(nr_rd)",0.288900793283694,0.443918212524527,0.65079734314287,0.5151773
"psi(RLU1KM)",0.0519404029606174,0.0675085955260428,0.769389476345725,0.4416621
"psi(PAR_1k)",-0.0942015871406409,0.125754697117377,0.749090008564175,0.453803
"p(Int)",-3.35216755489622,22.0024818559102,0.152354065184505,0.8789077
"p(COUNT_TYPEtravelling)",0.830669421812693,0.145200841014625,5.72083065089841,0
"p(DAY)",-0.0136159548773949,0.00157402598711314,8.65040030397929,0
"p(EFFORT_DISTANCE_KM)",0.165843885520374,0.0507357822926478,3.26877556679375,0.0010801
"p(EFFORT_HRS)",0.590373389210115,0.133350991763278,4.42721408670237,9.5e-06
"p(TIME)",-0.0742586004215759,0.0134236107517121,5.53193934144021,0
"p(NUMBER_OBSERVERS)",3.54315870959737,22.0022804364201,0.161035976240554,0.8720651
"psi(WAT_100m)",0.0320353909363655,0.0670161988140115,0.478024589626048,0.6326327
"psi(RHU1KM)",-0.0123217260400449,0.051767302060572,0.238021406362407,0.8118645
"psi(RHU100)",-0.012339741642749,0.0498537466887037,0.247518841859584,0.8045067
