"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.63091035614802,0.252052882009665,2.50308725342735,0.0123115
"psi(SAV_1km)",0.269510215339975,0.14458973354108,1.86396508755861,0.0623266
"psi(RHU1KM)",0.213791574997575,0.0844066713683192,2.53287532290746,0.0113131
"psi(FOR1_1km)",0.987790350470641,0.24836424097945,3.97718426201449,6.97e-05
"psi(RUR_1km)",0.288354054924837,0.0936510858365345,3.07902521737069,0.0020768
"psi(SHDI_100)",-0.268662015487894,0.0929535148982526,2.89028355497878,0.0038489
"psi(SAV_100m)",0.25180530923394,0.141820314377374,1.77552355838039,0.0758115
"psi(RLU1KM)",0.095186913025425,0.065411865876546,1.4551933620893,0.1456157
"psi(SHR_1km)",-0.35675142654151,0.276976847513548,1.28801894361968,0.1977394
"psi(CR_CL_MN)",0.183145604237178,0.142925107137324,1.28140959909311,0.2000498
"psi(nr_urb)",0.630707550152417,0.673516489671229,0.936439656377665,0.3490469
"psi(WET_1km)",-0.0558566486722371,0.0743433358992877,0.751333633291701,0.4524519
"psi(FOR2_1km)",-0.0875997925473607,0.119933810785887,0.73040114354199,0.465145
"psi(WAT_100m)",-0.0669054580543704,0.0739304266975576,0.904978654161897,0.3654767
"p(Int)",-9.31234096261919,188.799788086482,0.0493238952066703,0.9606612
"p(EFFORT_HRS)",0.985098462672942,0.11238714855852,8.76522338459364,0
"p(TIME)",-0.0929738649471172,0.0113105345441857,8.22011237257668,0
"p(EFFORT_DISTANCE_KM)",-0.124348839240729,0.0486752096588236,2.55466468685641,0.010629
"p(COUNT_TYPEtravelling)",0.157547492242733,0.109856829594129,1.43411650258613,0.151539
"p(DAY)",-0.00190343038459946,0.00140367521430318,1.35603333677469,0.1750886
"p(NUMBER_OBSERVERS)",9.58542541094459,188.799732517929,0.0507703336392934,0.9595085
"psi(HRB_1km)",-0.0762543568386408,0.164010985337972,0.464934447418298,0.6419784
"psi(FOR2_100m)",0.00873253970717661,0.0536349668639501,0.16281430226903,0.8706646
"psi(CLT_100m)",-0.0130119362149911,0.05250026982088,0.24784513030857,0.8042542
"psi(RLU100)",0.00422277259629335,0.0162424974475083,0.259982961976155,0.7948769
"psi(nr_fw)",0.00310536965557374,0.0222008112760915,0.139876404377977,0.8887576
