"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.369988382051878,0.268819672219662,1.37634414548927,0.1687151
"psi(CR_CL_MN)",0.805050008033574,0.207723885882229,3.87557745039492,0.0001064
"psi(FOR2_1km)",0.939281525231326,0.305762710222663,3.0719296167519,0.0021268
"psi(WAT_1km)",-0.417889272689371,0.117488994688886,3.55683758973301,0.0003753
"psi(RHU1KM)",-0.368555148713336,0.128229708593834,2.8741791021356,0.0040508
"psi(WAT_100m)",-0.251523775622179,0.173590619606759,1.4489479684557,0.1473521
"psi(SAV_1km)",0.184084569959078,0.211617431269584,0.869893225972337,0.3843588
"psi(WET_100m)",0.0666141094267902,0.0926109844681932,0.719289507711351,0.4719626
"psi(FOR1_100m)",0.148443918680612,0.265867946790596,0.558337025852648,0.5766143
"psi(RUR_1km)",0.0324904056055466,0.0941310060452403,0.345161567591569,0.7299729
"p(Int)",-6.89918685420124,66.905581591994,0.103118255458477,0.9178691
"p(EFFORT_HRS)",1.42881485667469,0.176732188106729,8.08463286728404,0
"p(TIME)",-0.0310319128099413,0.0167410393378367,1.85364314507079,0.0637902
"p(COUNT_TYPEtravelling)",0.0198166174929579,0.179694717157646,0.110279354932693,0.9121878
"p(DAY)",-0.00333796922190561,0.00201291632477884,1.65827520042213,0.0972619
"p(EFFORT_DISTANCE_KM)",-0.0633461910853678,0.0752555452479087,0.841747819070224,0.3999291
"p(NUMBER_OBSERVERS)",5.17781192613152,66.9053538386552,0.0773900985355823,0.9383132
"psi(FOR1_1km)",0.187001518664294,0.312710490361531,0.598002063979682,0.5498386
"psi(SHR_1km)",-0.172323493912712,0.321219834647546,0.536465919365758,0.5916366
"psi(CLT_100m)",-0.0479653522785616,0.117084921395675,0.409662932739803,0.6820532
"psi(CLT_1km)",-0.0121508796890392,0.0622702896325018,0.195131253776875,0.8452902
"psi(FOR2_100m)",-0.00659731692026958,0.0519854922636767,0.126906885613532,0.8990141
