"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.451301776300424,0.279690254653582,1.61357705101093,0.1066192
"psi(FOR1_1km)",1.05270606129253,0.328109114297639,3.20840237414918,0.0013347
"psi(CR_CL_MN)",0.718683352471105,0.198169233175705,3.62661418704634,0.0002872
"psi(nr_fw)",0.215840807614454,0.118499976766305,1.82144177158884,0.0685397
"psi(nr_urb)",0.994086794078381,0.512303854184058,1.94042419544482,0.0523282
"psi(FOR1_100m)",0.283625811929979,0.327404098747936,0.866286686741628,0.386333
"psi(SHDI_1k)",0.0868955331902971,0.161101656779959,0.539383237436121,0.5896224
"p(Int)",-8.97244579738786,0.646037556175526,13.8884275559826,0
"p(DAY)",0.0600544486864382,0.0041763307289108,14.3797157324512,0
"p(EFFORT_HRS)",0.601822006745643,0.257827439737366,2.33420464229364,0.019585
"p(TIME)",-0.125306365026865,0.0223742577121399,5.60047026538342,0
"p(COUNT_TYPEtravelling)",0.801563309908309,0.266564039713603,3.00701966690447,0.0026382
"p(EFFORT_DISTANCE_KM)",0.195977268019973,0.0997464050595761,1.96475519997859,0.0494426
"psi(BAR_100m)",0.030276118473779,0.0679490183964375,0.445571094156767,0.6559071
"psi(BAR_1km)",0.0312929112053777,0.0718669896992834,0.435428161612421,0.6632517
"psi(WET_1km)",-0.0604647808957163,0.113525557646456,0.532609415441209,0.594304
"psi(WET_100m)",0.0413450970555961,0.0885266916928544,0.467035379555852,0.6404746
"psi(SHR_1km)",0.105144572907834,0.257047495230236,0.409047257253592,0.682505
"psi(RUR_1km)",-0.0341332733124275,0.104611301734632,0.326286670239641,0.7442075
"psi(RUR_100m)",0.0117236436424001,0.0547792896970539,0.214015985005198,0.8305346
"psi(SHR_100m)",-0.0336203500534359,0.12831314510132,0.262017971945808,0.7933076
"psi(WAT_1km)",0.0155664985072494,0.0546811940534919,0.284677369920296,0.7758913
"psi(WAT_100m)",-0.00954418910155944,0.0516628466187092,0.184739899680694,0.853433
