"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",0.572609305296619,0.338754011383917,1.69033955629729,0.090963
"psi(FOR1_1km)",1.290745393194,0.311593812138981,4.14239738694903,3.44e-05
"psi(SAV_1km)",0.451612105474508,0.199799220806851,2.26032966320268,0.0238008
"psi(PAR_1k)",-0.357728754416763,0.126164844872286,2.83540755571715,0.0045767
"psi(WET_1km)",0.115236127688987,0.110274127988695,1.04499695251093,0.2960244
"psi(RUR_1km)",0.373971515689489,0.123728565442755,3.02251557149518,0.0025068
"psi(WAT_100m)",-0.0954380289218448,0.114047677481355,0.83682571210139,0.4026905
"psi(nr_rd)",0.211298845067305,0.316772645345174,0.667036274035157,0.504749
"psi(CLT_100m)",0.325873126558293,0.131462240191727,2.47883442487389,0.0131812
"psi(SHR_1km)",0.674929237192616,0.427662667168169,1.57818133077119,0.114524
"psi(RLU1KM)",0.0939763365041285,0.0706511234470622,1.33014638577607,0.18347
"psi(FOR2_100m)",-0.0659943773715425,0.140011662293406,0.471349145425084,0.6373914
"psi(CR_CL_MN)",0.0744236368569935,0.144640315500074,0.514542827148046,0.6068725
"psi(SAV_100m)",0.139348753084023,0.138969501483338,1.00272902756819,0.3159916
"p(Int)",-8.75466407130202,141.129597304208,0.0620327999124886,0.9505367
"p(DAY)",0.01085323615441,0.00194830785596705,5.57059610531775,0
"p(EFFORT_HRS)",1.20220984089121,0.164056948766059,7.32800317166406,0
"p(TIME)",-0.0257013399108987,0.0157622218765691,1.63056579917227,0.102982
"p(COUNT_TYPEtravelling)",0.168262080856333,0.169083687939839,0.995140825862525,0.3196678
"p(EFFORT_DISTANCE_KM)",-0.054783280724514,0.0650550526073861,0.842106470271213,0.3997284
"p(NUMBER_OBSERVERS)",5.73455173393584,141.129564698423,0.0406332418454622,0.9675883
"psi(WET_100m)",0.138491741292664,0.112556486932926,1.2304198990787,0.2185399
"psi(nr_fw)",0.0586765777761163,0.0978523203074003,0.599644214790058,0.5487434
"psi(BAR_100m)",0.00501590091957942,0.028499630732347,0.175998803868234,0.8602949
"psi(RHU1KM)",-0.0304632981762689,0.0844224652365767,0.360843504047196,0.7182164
"psi(FOR2_1km)",-0.00602895333132798,0.0408308958955641,0.147656650658576,0.8826137
"psi(CLT_1km)",0.000440427087891418,0.010799011918256,0.0407840172068765,0.9674681
