"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-5.52397784702847,0.992750802897485,5.56431466074463,0
"psi(BAR_1km)",0.274304067369675,0.0948519465094312,2.89191816788284,0.003829
"psi(FOR2_100m)",-3.6879127466509,2.42248505654484,1.52236759384222,0.127917
"psi(RUR_100m)",-0.866619418768833,0.353275366533672,2.45309891621394,0.0141631
"psi(HRB_1km)",0.573294169113111,0.237724608095143,2.41158950142707,0.0158832
"psi(CR_CL_MN)",0.731050166199975,0.27754727274134,2.63396631132195,0.0084394
"psi(FOR1_1km)",-1.96654429548234,0.613687708889804,3.20447072182679,0.0013531
"psi(SAV_1km)",0.520503280945558,0.247946391460953,2.09925733493696,0.0357942
"psi(RHU1KM)",-0.387046816901468,0.291501121432564,1.32777127922991,0.1842537
"psi(CLT_100m)",-0.233534959153128,0.316461306899788,0.737957387084547,0.4605403
"p(Int)",-7.69163784756832,1.44455422885875,5.32457535612559,1e-07
"p(DAY)",0.0626402575979094,0.0102290765915909,6.12374509439146,0
"p(COUNT_TYPEtravelling)",-1.15499335779461,0.613179878667709,1.88361262000986,0.0596174
"p(EFFORT_HRS)",-0.753963439256621,0.559590820668861,1.34734776091472,0.1778683
"p(EFFORT_DISTANCE_KM)",0.154569586992192,0.198707408796593,0.777875308868915,0.4366425
"p(TIME)",0.0305664014998868,0.0525856969030188,0.581268354325681,0.5610596
"psi(nr_urb)",-0.256175597633566,0.848829471399889,0.301798660702816,0.7628056
"psi(BAR_100m)",0.0292148829583881,0.0766318184622478,0.381236978902969,0.7030274
"psi(WET_1km)",0.0268203443246719,0.0763659709850681,0.351208057446374,0.7254323
"psi(SHDI_100)",0.0330790426718199,0.12628625313057,0.261937003053046,0.79337
"psi(RLU1KM)",0.00579462822633271,0.0388879177103009,0.149008447032323,0.881547
"psi(WAT_100m)",0.00312875562511155,0.028786460001606,0.108688446753682,0.9134496
