"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.54054921120415,0.398294682300246,3.86786286552237,0.0001098
"psi(CR_CL_MN)",0.731595883435633,0.133728766893119,5.47074425669646,0
"psi(WET_1km)",-0.277909303954643,0.0894997004109448,3.10514228180207,0.0019019
"psi(SAV_100m)",0.496547851464845,0.269287657044735,1.8439309729757,0.0651932
"psi(WAT_1km)",-0.245201271816309,0.0831422860932762,2.9491764460412,0.0031862
"psi(FOR1_1km)",0.829662810842126,0.291966283040692,2.84163911737197,0.0044882
"psi(nr_fw)",0.206070911045464,0.10467597720283,1.96865524021965,0.0489927
"psi(CLT_1km)",-0.215839350558982,0.173056947438478,1.24721575038594,0.2123184
"psi(nr_urb)",1.44021905647738,1.02808373486564,1.40087719281504,0.1612508
"psi(BAR_1km)",-0.0785568743818687,0.0906799122513185,0.866309554470554,0.3863204
"psi(PAR_100)",0.0888927993731166,0.114093490511286,0.779122445765858,0.4359076
"psi(SHR_1km)",-0.148708313303885,0.244124453568663,0.609149600255264,0.5424253
"p(Int)",-8.83142865310906,143.228895960574,0.061659545679526,0.950834
"p(EFFORT_HRS)",0.960468264470319,0.114196132595589,8.4106899475457,0
"p(TIME)",-0.0691073567755664,0.0113107314111345,6.10989283217668,0
"p(COUNT_TYPEtravelling)",0.2859003001938,0.114880877398158,2.48866744987434,0.0128223
"p(EFFORT_DISTANCE_KM)",-0.0520803726959334,0.0500543727880832,1.04047598231682,0.2981188
"p(DAY)",-0.0022006737354127,0.00133656705408889,1.64651203146172,0.0996584
"p(NUMBER_OBSERVERS)",8.54880041191934,143.228832326912,0.0596863094743883,0.9524055
"psi(RHU1KM)",0.14002115771822,0.144610090531159,0.968266856095007,0.3329111
"psi(RHU100)",-0.0591018975356276,0.0821265695791255,0.719644054762149,0.4717442
"psi(SHDI_100)",-0.0227235855419408,0.0704447496439597,0.322573160622897,0.7470185
"psi(nr_rd)",0.0163458299174294,0.0997570495189315,0.163856389059776,0.8698442
"psi(RUR_100m)",-0.00193026522844254,0.017962141166488,0.107462980640851,0.9144217
"psi(SHDI_1k)",-0.000739308036545716,0.0139210346212207,0.0531072622589951,0.9576464
"psi(RLU1KM)",0.000224898414430555,0.00502110620768671,0.0447906108989016,0.9642742
