"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.130021393533489,0.192594515112274,0.675104342705152,0.4996095
"psi(nr_fw)",0.434590316225576,0.128141740384484,3.39148129970457,0.0006952
"psi(SAV_1km)",0.410446383053229,0.170691276030506,2.40461254141585,0.0161896
"psi(RLU1KM)",0.221038240911702,0.0796576919715718,2.77485118437258,0.0055227
"psi(SHDI_100)",-0.161139848301495,0.133604642551473,1.20609467773108,0.227781
"psi(FOR1_1km)",0.207864366456535,0.236691404706633,0.878208343535636,0.3798307
"psi(SAV_100m)",0.259164872281223,0.243559804554585,1.06407078440211,0.2872966
"psi(WET_1km)",-0.112160305993857,0.10222942964674,1.09714302800508,0.2725789
"psi(WAT_100m)",-0.0900780553422876,0.101826540383148,0.884622565034089,0.3763602
"psi(RLU100)",-0.0390947547864695,0.0448378763389876,0.871913613635526,0.3832555
"p(Int)",-5.5068288078585,43.4618153607957,0.126704988324668,0.8991739
"p(COUNT_TYPEtravelling)",0.719867839705983,0.155764411361215,4.62151677276667,3.8e-06
"p(EFFORT_DISTANCE_KM)",-0.223613394165745,0.067720628840799,3.30199819454463,0.00096
"p(EFFORT_HRS)",0.868505612140695,0.150928009043373,5.75443628817174,0
"p(TIME)",-0.150700410747141,0.0171283910378842,8.79828177753677,0
"p(DAY)",-0.0029674608298716,0.00186909044677386,1.58764966938522,0.1123656
"p(NUMBER_OBSERVERS)",5.32650495862521,43.4610880318668,0.122558021435627,0.9024571
"psi(BAR_100m)",-0.0303268837298062,0.066880045675099,0.453451899197754,0.6502234
"psi(RHU1KM)",0.0178285277256399,0.0576377234455951,0.309320470342109,0.7570778
"psi(CR_CL_MN)",0.0100511913151167,0.0524368678503757,0.191681763750592,0.8479915
"psi(RUR_1km)",0.00557183176816068,0.0354738448546753,0.15706873024299,0.8751907
"psi(WAT_1km)",-0.00697973453894202,0.0328809987168075,0.212272583295174,0.8318944
