"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-2.41039801578798,0.253810200882237,9.49685240155638,0
"psi(FOR1_1km)",-0.7461332881951,0.241235400172642,3.09296764762189,0.0019817
"psi(CR_CL_MN)",-0.565241729150137,0.128644848222527,4.39381550804425,1.11e-05
"psi(WAT_1km)",0.275161311559038,0.071199141395407,3.86467176662875,0.0001112
"psi(RHU1KM)",0.281388820928891,0.0851697964421433,3.30385691505135,0.0009536
"psi(RLU100)",0.094182229883475,0.0294605912385036,3.19688865444029,0.0013892
"psi(SAV_100m)",-0.351515984709817,0.174664111668531,2.0125255345924,0.0441646
"psi(RUR_100m)",-0.145831106973072,0.102779333465901,1.41887578032848,0.1559352
"psi(SHDI_1k)",0.204607722657575,0.139631559350633,1.46534009653061,0.1428282
"psi(WAT_100m)",0.0716575796561499,0.0906885758945882,0.790150015581246,0.4294402
"psi(SHR_1km)",-0.21778808734569,0.336079145847827,0.64802618679679,0.516968
"psi(PAR_100)",-0.0933349089499457,0.122909315671236,0.759380266989709,0.4476251
"p(Int)",-6.04614349547106,128.516170109007,0.0470457802340574,0.9624767
"p(EFFORT_HRS)",0.657235568796537,0.156005127717298,4.21291003964649,2.52e-05
"p(TIME)",-0.0650861499292343,0.0159508975648938,4.08040673977381,4.5e-05
"p(EFFORT_DISTANCE_KM)",0.140058685688094,0.0546503710080199,2.56281308076648,0.0103828
"p(COUNT_TYPEtravelling)",-0.034891752141453,0.157367961493238,0.221720811595773,0.8245312
"p(NUMBER_OBSERVERS)",5.19143143590275,128.516027147898,0.0403952063498537,0.9677781
"p(DAY)",0.00192129521993938,0.00182213123159237,1.05442197939846,0.2916898
"psi(PAR_1k)",0.0100248162773783,0.0452845645550805,0.221373803102045,0.8248014
"psi(HRB_100m)",-0.0213549134914449,0.0732927124700489,0.291364758811071,0.7707724
"psi(nr_fw)",-0.00520424968085016,0.0297459819513068,0.174956392072359,0.8611139
