"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",1.59415902207799,0.339303926049739,4.6983217690334,2.6e-06
"psi(FOR1_1km)",1.95192086315004,0.326358056855382,5.98091826491964,0
"psi(RHU1KM)",-0.453312563412274,0.117214587859845,3.86737326547021,0.00011
"psi(RUR_1km)",0.417732289203567,0.125876865673229,3.31857873144048,0.0009048
"psi(WET_1km)",0.226600098391989,0.0867731554662948,2.61140783891404,0.009017
"psi(PAR_100)",-0.119720730102369,0.140411160151309,0.85264397768209,0.3938568
"psi(RHU100)",-0.0747500354329692,0.10989240224435,0.680211132947659,0.4963708
"psi(FOR2_100m)",-0.115099547348151,0.147555204558793,0.780043968576449,0.435365
"psi(WAT_1km)",-0.0664663891462732,0.0836458749563016,0.794616461134475,0.4268366
"psi(nr_fw)",0.0435102339026046,0.084395955002804,0.515548806825624,0.6061696
"p(Int)",-8.61979250453093,50.9021242693486,0.169340526122629,0.8655288
"p(DAY)",0.0140656133708563,0.00162800159009237,8.63980321423289,0
"p(EFFORT_HRS)",1.49411907948419,0.140807526715681,10.6110739555927,0
"p(TIME)",-0.0122471859004405,0.012965893904898,0.944569344024482,0.3448788
"p(COUNT_TYPEtravelling)",0.0447043437509771,0.13630710289977,0.327967822658878,0.742936
"p(EFFORT_DISTANCE_KM)",-0.0528123714075088,0.0572465392826241,0.922542603785637,0.3562456
"p(NUMBER_OBSERVERS)",5.06147411775755,50.9017007971426,0.0994362474827499,0.9207919
"psi(PAR_1k)",-0.0580859866660465,0.106832059518129,0.543713066358976,0.5866389
"psi(nr_rd)",0.207162042949991,0.368984561194597,0.561438240882759,0.5744988
"psi(SHDI_100)",-0.0113727931240907,0.0514270953982711,0.221143991042377,0.8249803
"psi(WET_100m)",0.0124796709430228,0.0474879546951956,0.262796555950331,0.7927074
"psi(CR_CL_MN)",0.0134293605570726,0.0661590516158017,0.202985989506915,0.839146
