"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-0.462454179604486,0.140532468962281,3.29072834925151,0.0009993
"psi(WET_1km)",0.491640216790078,0.152992531839276,3.21349160563316,0.0013113
"psi(CLT_1km)",0.613709808073765,0.125818734398782,4.87772994225658,1.1e-06
"psi(FOR1_100m)",-0.373041397134201,0.167166629333756,2.23155422000768,0.0256444
"psi(WET_100m)",0.492960578678157,0.0999746173485261,4.93085736912225,8e-07
"psi(nr_fw)",-0.39558318622423,0.0803377819679283,4.92399935041959,8e-07
"psi(CR_CL_MN)",-0.480752376088136,0.137443377842531,3.497821311107,0.0004691
"psi(RHU100)",-0.0764786798949709,0.091593172282245,0.834982324439002,0.4037277
"p(Int)",-4.46844850098086,34.6357496220769,0.129012611239477,0.8973477
"p(COUNT_TYPEtravelling)",0.702714033848721,0.110796731666702,6.34237150571028,0
"p(EFFORT_HRS)",0.959446136482251,0.115208302762325,8.32792527515651,0
"p(DAY)",0.00321643452253535,0.00138050590075715,2.32989552653942,0.0198117
"p(TIME)",0.0136801051220906,0.0115766272005667,1.18170041110255,0.2373246
"p(EFFORT_DISTANCE_KM)",-0.0427551258757198,0.0415148199986737,1.0298762195545,0.3030681
"p(NUMBER_OBSERVERS)",3.14579922988039,34.6352560981363,0.0908265040964908,0.9276304
"psi(FOR2_1km)",-0.0584443286092547,0.119091268989133,0.490752421276051,0.6236016
"psi(SHR_1km)",-0.0694575620396572,0.166365683648665,0.417499333494395,0.6763132
"psi(SAV_100m)",-0.0075687977995274,0.0382430554520614,0.197912999106859,0.8431131
"psi(WAT_100m)",0.00404210787534895,0.0243886441100562,0.165737293844976,0.8683637
"psi(PAR_1k)",-0.00238666201506117,0.0190402193202847,0.125348451869906,0.9002477
"psi(SHR_100m)",-0.00400153915203435,0.0341671202829061,0.117116664176007,0.9067676
