"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-1.72693925172818,0.278660632194256,6.19728462585388,0
"psi(CLT_1km)",0.547092023713196,0.203622628117971,2.68679384393483,0.0072141
"psi(CR_CL_MN)",-1.11323417936335,0.153624471326671,7.24646385923856,0
"psi(WET_1km)",0.433632900144008,0.125694248923708,3.44990247252449,0.0005608
"psi(RHU1KM)",-0.42343896136159,0.147164208862857,2.87732298928876,0.0040106
"psi(SHR_1km)",-0.801488219233931,0.536975883512632,1.49259630430884,0.1355429
"psi(HRB_1km)",0.488851224086454,0.382075064030262,1.27946382820664,0.2007338
"psi(RLU1KM)",0.0371148330701775,0.070253252069761,0.528300569393183,0.5972907
"p(Int)",-7.25118244896659,34.0059754825757,0.21323259650887,0.8311455
"p(COUNT_TYPEtravelling)",0.973886209893003,0.187822687419459,5.1851361689765,2e-07
"p(DAY)",0.0267312405983169,0.00233568455628571,11.4447135108115,0
"p(TIME)",-0.0783772464094476,0.0180253079974488,4.34817792963875,1.37e-05
"p(EFFORT_DISTANCE_KM)",0.025411465448234,0.0591905947006653,0.42931593400511,0.6676933
"p(EFFORT_HRS)",0.216574492703934,0.174813397304712,1.23888955905611,0.2153864
"p(NUMBER_OBSERVERS)",3.28711580334307,34.0051874325768,0.0966651282208205,0.9229923
"psi(nr_urb)",-0.15730923225313,0.406574403794827,0.386913762363935,0.6988201
"psi(CLT_100m)",0.153995909757534,0.298981184713683,0.515068899419229,0.6065049
"psi(HRB_100m)",0.0697789794930747,0.143054332834898,0.487779559767744,0.625706
"psi(BAR_1km)",0.0262256414460997,0.073615532518888,0.356251466894855,0.7216523
"psi(RUR_100m)",0.0136362046205312,0.0529252390066201,0.257650317248932,0.7966768
"psi(WAT_1km)",0.0145918608810037,0.0514698522155139,0.283503065443142,0.7767912
"psi(RUR_1km)",0.0085301015612835,0.0448879457434886,0.190031007656902,0.8492848
"psi(BAR_100m)",0.00615777699465911,0.0319680716882451,0.192622722280849,0.8472544
"psi(RHU100)",-0.00694926663989791,0.0377054298575041,0.184304135138109,0.8537749
"psi(RLU100)",0.00217147828144272,0.0123709827918045,0.175529973486122,0.8606632
