"","Estimate","Std. Error","z value","Pr(>|z|)"
"psi(Int)",-6.8387618109607,1.52132755069195,4.4952592936677,6.9e-06
"psi(CLT_1km)",1.06864735276687,0.471445585253435,2.2667459112856,0.0234058
"psi(WET_1km)",0.711190681893607,0.218526872118949,3.25447701235796,0.001136
"psi(SHDI_100)",1.23633096819106,0.627675174506229,1.96969868875831,0.0488729
"psi(nr_fw)",-1.93588363265033,0.990562743626574,1.95432711870711,0.0506625
"psi(RLU100)",-0.329408384166622,0.21915304322533,1.50309746704238,0.1328139
"psi(BAR_1km)",-0.666902529314119,0.58837145778986,1.13347192574441,0.2570161
"psi(nr_rd)",-1.51343885858515,1.57089933928576,0.963421920638949,0.3353358
"psi(FOR1_1km)",1.19983665713241,0.716435686554631,1.67473044636075,0.0939871
"psi(SAV_1km)",-1.16640412303285,0.923360805480234,1.26321597809885,0.2065116
"psi(WAT_100m)",-0.653874776623038,0.757421882787188,0.863290052060399,0.387978
"psi(SHR_100m)",-1.3797594591514,1.74171302898718,0.792185300441677,0.4282526
"psi(FOR1_100m)",-0.859024868424201,1.15708157337223,0.742406489043498,0.4578411
"psi(RUR_100m)",-0.53502690236114,0.591462504075113,0.904582959485786,0.3656864
"psi(WAT_1km)",-0.726346319221787,0.87262244873583,0.832371800970794,0.4051991
"p(Int)",-2.05715830576279,11863.3718683333,0.000173404182941776,0.9998616
"p(DAY)",0.0217499113051139,0.00745081955559034,2.91913005580641,0.0035101
"p(EFFORT_HRS)",0.764026304654558,0.540548806285269,1.41342705001063,0.1575302
"p(TIME)",-0.0502098739925983,0.0575446640117331,0.872537442956671,0.3829153
"p(EFFORT_DISTANCE_KM)",-0.2609504118983,0.198749333532219,1.31296245004011,0.1891956
"p(COUNT_TYPEtravelling)",0.401660470321477,0.555993838128595,0.722418924053935,0.470037
"p(NUMBER_OBSERVERS)",-2.06796857831376,11863.3720846038,0.000174315410792649,0.9998609
"psi(RUR_1km)",0.218404710805206,0.403882577690663,0.540762892160414,0.588671
"psi(RHU100)",0.19124006440192,0.340170004830288,0.562189674828416,0.5739868
"psi(CLT_100m)",0.0891796666181426,0.307521427146139,0.289994968629496,0.7718201
"psi(WET_100m)",0.0503146527805494,0.160912790264814,0.312682743849925,0.7545217
"psi(nr_urb)",-0.0234345060904001,0.347275810517504,0.0674809629138246,0.9461988
